Date,Composite,Single_family,One_storey,Two_storey,Townhouse,Apartment,Region
2005-01-01,182500,207800,184200,247400,127900,116100,Alberta
2005-02-01,182700,207200,183300,246300,128900,116500,Alberta
2005-03-01,182100,206300,182000,245500,129100,116400,Alberta
2005-04-01,181500,205100,180300,243600,129900,116200,Alberta
2005-05-01,180100,203500,178700,241300,129000,115100,Alberta
2005-06-01,180900,204500,179200,242100,129700,114800,Alberta
2005-07-01,183900,208200,182100,245700,131200,116200,Alberta
2005-08-01,188600,213600,187400,250100,134100,117600,Alberta
2005-09-01,193400,219200,191800,257000,138000,120600,Alberta
2005-10-01,201200,228100,198600,267700,143500,124000,Alberta
2005-11-01,209200,237000,205900,278000,150200,128600,Alberta
2005-12-01,216700,245000,212200,287600,156500,133700,Alberta
2006-01-01,224800,254100,219100,298900,162400,138000,Alberta
2006-02-01,231900,262100,225100,308900,168600,142400,Alberta
2006-03-01,239100,270000,231300,318800,174200,147400,Alberta
2006-04-01,250500,282700,241400,333900,183400,154300,Alberta
2006-05-01,263300,296500,253300,349700,194200,163800,Alberta
2006-06-01,276900,311400,266300,366600,205700,174100,Alberta
2006-07-01,290600,325800,279500,381900,218400,185500,Alberta
2006-08-01,303800,339700,292700,395800,230200,196400,Alberta
2006-09-01,312800,348100,300400,405200,240700,208200,Alberta
2006-10-01,320500,355700,308700,411600,248200,214300,Alberta
2006-11-01,327400,362800,315200,418900,254400,220900,Alberta
2006-12-01,335500,371300,324400,426300,261600,227200,Alberta
2007-01-01,342900,378900,332400,432500,269200,234000,Alberta
2007-02-01,351300,387800,341000,441200,275800,241400,Alberta
2007-03-01,360000,397200,350200,450100,284600,248400,Alberta
2007-04-01,366700,404000,356000,457200,290100,254200,Alberta
2007-05-01,373000,410500,362100,463700,296400,260300,Alberta
2007-06-01,377100,414400,366600,466700,301400,265000,Alberta
2007-07-01,378100,415000,366300,468000,303200,266000,Alberta
2007-08-01,377900,414800,364800,468500,303500,265700,Alberta
2007-09-01,377100,413900,364700,466900,302800,265100,Alberta
2007-10-01,374600,411200,361900,464100,300600,262800,Alberta
2007-11-01,371900,408100,359800,459900,299200,261100,Alberta
2007-12-01,369400,405100,356400,457500,297200,258400,Alberta
2008-01-01,368700,404800,354800,457500,296400,258200,Alberta
2008-02-01,366800,402900,353100,455000,294900,255800,Alberta
2008-03-01,363500,399200,349900,450700,293300,253600,Alberta
2008-04-01,359300,394600,346400,444500,290300,251000,Alberta
2008-05-01,353300,388200,340200,437600,286100,246600,Alberta
2008-06-01,347800,382600,334900,431500,281300,242200,Alberta
2008-07-01,343900,378600,331200,427000,277400,237400,Alberta
2008-08-01,342000,377100,329900,424900,274400,234200,Alberta
2008-09-01,340200,375800,327700,424400,272500,230400,Alberta
2008-10-01,337700,373100,325000,421700,270800,228500,Alberta
2008-11-01,335200,370500,321900,419800,269100,225900,Alberta
2008-12-01,331600,365600,319200,413100,266700,224100,Alberta
2009-01-01,325200,359100,313100,405100,262300,220200,Alberta
2009-02-01,320600,353800,307900,399600,259300,217200,Alberta
2009-03-01,315800,349000,303300,394000,253100,213300,Alberta
2009-04-01,313700,346900,303200,389600,249900,211700,Alberta
2009-05-01,314300,348600,304200,391800,247600,209400,Alberta
2009-06-01,317300,352100,306500,396200,248800,210300,Alberta
2009-07-01,321800,357700,311000,402200,251400,211100,Alberta
2009-08-01,326500,362900,315600,407700,254700,213800,Alberta
2009-09-01,330400,367200,318200,413300,258500,215800,Alberta
2009-10-01,335500,373000,323000,419600,261400,219100,Alberta
2009-11-01,339600,377500,326100,425500,263600,222100,Alberta
2009-12-01,344300,381800,329200,432000,266300,226000,Alberta
2010-01-01,345500,383500,331600,431700,269300,227000,Alberta
2010-02-01,346900,385000,333500,432700,270700,227800,Alberta
2010-03-01,348400,385900,333400,434600,272100,229600,Alberta
2010-04-01,348200,385200,331700,434800,274400,228200,Alberta
2010-05-01,347600,383900,330300,433700,275000,229000,Alberta
2010-06-01,345300,381100,328100,430000,274100,227600,Alberta
2010-07-01,343000,378300,326300,426600,271800,226700,Alberta
2010-08-01,340400,375200,323300,423300,270400,224300,Alberta
2010-09-01,338500,372600,321300,419600,268800,226000,Alberta
