Date,Composite,Single_family,One_storey,Two_storey,Townhouse,Apartment,Region
2005-01-01,301300,383600,294400,484500,247800,194000,British_Columbia
2005-02-01,303000,385200,296400,485700,249600,196000,British_Columbia
2005-03-01,305000,387300,299600,486500,250600,198400,British_Columbia
2005-04-01,306500,389300,302300,487800,251700,199400,British_Columbia
2005-05-01,308100,390800,303800,489200,253000,200900,British_Columbia
2005-06-01,310400,392500,305900,490900,255100,204300,British_Columbia
2005-07-01,314800,398800,310700,498400,258800,206500,British_Columbia
2005-08-01,319400,404900,315600,505800,262200,208700,British_Columbia
2005-09-01,325500,411300,321400,513100,266800,216600,British_Columbia
2005-10-01,329800,417200,325500,521100,269400,218700,British_Columbia
2005-11-01,335100,424000,331000,529100,274000,221500,British_Columbia
2005-12-01,340000,430700,336600,537100,275300,225000,British_Columbia
2006-01-01,345700,436500,341300,544400,282000,229800,British_Columbia
2006-02-01,351100,442900,347300,551600,286400,233900,British_Columbia
2006-03-01,355200,447800,350900,558300,289600,237500,British_Columbia
2006-04-01,360600,454100,356900,565600,293500,241200,British_Columbia
2006-05-01,366000,460300,362400,573200,298300,244800,British_Columbia
2006-06-01,370800,465600,366400,581100,302800,248000,British_Columbia
2006-07-01,375000,470100,369100,587600,306300,251600,British_Columbia
2006-08-01,379600,475300,373600,594200,310600,254900,British_Columbia
2006-09-01,382700,479200,375900,600700,311800,257600,British_Columbia
2006-10-01,386200,483400,380300,604700,316400,259000,British_Columbia
2006-11-01,388700,486200,382500,608700,318900,260600,British_Columbia
2006-12-01,391800,489800,386000,612700,322400,261400,British_Columbia
2007-01-01,395000,494100,390100,617500,324300,263800,British_Columbia
2007-02-01,398500,498000,393400,622400,326200,267200,British_Columbia
2007-03-01,401200,500900,395600,626100,329100,269200,British_Columbia
2007-04-01,405000,505100,399200,632000,331400,271800,British_Columbia
2007-05-01,408700,510000,403600,638000,333700,274300,British_Columbia
2007-06-01,412900,515200,407800,644800,336100,276600,British_Columbia
2007-07-01,417100,520000,412500,650000,338400,280100,British_Columbia
2007-08-01,420800,523700,415500,655000,341800,283600,British_Columbia
2007-09-01,424900,528900,420600,660900,344400,286700,British_Columbia
2007-10-01,429700,534400,425000,668200,347800,290200,British_Columbia
2007-11-01,434300,539800,429000,675500,351500,294000,British_Columbia
