Date,Composite,Single_family,One_storey,Two_storey,Townhouse,Apartment,Region
2005-01-01,129700,129800,114800,150900,129900,108100,Newfoundland
2005-02-01,131000,131100,116400,151900,130900,108500,Newfoundland
2005-03-01,132300,132500,118100,152800,131600,107300,Newfoundland
2005-04-01,133100,133300,119000,153200,132400,110200,Newfoundland
2005-05-01,133600,133900,120000,153500,133400,109800,Newfoundland
2005-06-01,134200,134400,120900,153400,133400,110300,Newfoundland
2005-07-01,133900,134000,121200,152200,133500,109700,Newfoundland
2005-08-01,133500,133700,121400,151000,132600,109200,Newfoundland
2005-09-01,133300,133500,121700,149500,132000,108700,Newfoundland
2005-10-01,133700,134000,122000,150900,131200,108300,Newfoundland
2005-11-01,134400,134600,122300,151900,130700,107900,Newfoundland
2005-12-01,135100,135400,122700,153000,129500,107600,Newfoundland
2006-01-01,135800,136100,123400,153800,127900,108100,Newfoundland
2006-02-01,136400,136800,124000,154600,125900,108500,Newfoundland
2006-03-01,137000,137400,124600,155400,123600,108900,Newfoundland
2006-04-01,137000,137400,125100,154800,121500,108600,Newfoundland
2006-05-01,137000,137400,125500,154200,119600,109700,Newfoundland
2006-06-01,136800,137300,125800,153200,116800,110300,Newfoundland
2006-07-01,137600,138000,126100,154700,121400,110900,Newfoundland
2006-08-01,138400,138700,126400,156000,125200,111600,Newfoundland
2006-09-01,139300,139700,126700,157200,129400,112300,Newfoundland
2006-10-01,139200,139400,126600,157500,133600,113100,Newfoundland
2006-11-01,139200,139400,126600,157400,138100,114000,Newfoundland
2006-12-01,139400,139600,126700,157600,142300,114900,Newfoundland
2007-01-01,139800,139900,127200,157700,145200,114400,Newfoundland
2007-02-01,140200,140400,127800,157900,147800,113800,Newfoundland
2007-03-01,140700,140900,128300,158600,149700,112600,Newfoundland
2007-04-01,141500,141700,129100,159300,152200,111700,Newfoundland
2007-05-01,142200,142300,129700,160000,155000,111300,Newfoundland
2007-06-01,142800,142900,130600,160200,156100,110800,Newfoundland
2007-07-01,143900,144000,131500,161700,155900,112000,Newfoundland
2007-08-01,145000,145100,132400,163000,154500,113800,Newfoundland
2007-09-01,146300,146400,133300,164300,153300,115100,Newfoundland
2007-10-01,147500,147800,135100,165300,151800,116600,Newfoundland
2007-11-01,149000,149300,137100,166400,150900,118100,Newfoundland
2007-12-01,150700,151000,139200,167200,149400,119600,Newfoundland
2008-01-01,153300,153500,141500,170300,154000,122800,Newfoundland
2008-02-01,156100,156300,144100,173400,157500,125800,Newfoundland
2008-03-01,159100,159300,146600,177200,161700,125800,Newfoundland
2008-04-01,162200,162400,149300,181200,165300,132000,Newfoundland
2008-05-01,165400,165700,151700,185500,170000,133800,Newfoundland
2008-06-01,168200,168500,154500,188500,171500,136900,Newfoundland
2008-07-01,172000,172300,158200,192600,173200,139200,Newfoundland
2008-08-01,175600,176100,162300,195800,175900,142300,Newfoundland
2008-09-01,179600,180100,166600,199300,176500,144900,Newfoundland
2008-10-01,182300,182700,169300,202500,178400,146700,Newfoundland
2008-11-01,185300,185900,171800,206600,179700,149700,Newfoundland
2008-12-01,188800,189400,174800,210300,179000,151900,Newfoundland
2009-01-01,188900,189400,174700,210900,181400,153300,Newfoundland
2009-02-01,189400,189900,175600,211100,184400,154200,Newfoundland
2009-03-01,190300,190900,176000,212800,186000,152600,Newfoundland
2009-04-01,191700,192300,177100,214900,188600,153600,Newfoundland
2009-05-01,193300,194000,177300,218400,191800,154400,Newfoundland
2009-06-01,194700,195300,178900,219800,191500,155100,Newfoundland
2009-07-01,195400,196000,179600,220800,194700,156400,Newfoundland
2009-08-01,196100,196700,180400,221200,196600,157800,Newfoundland
2009-09-01,197300,197900,181600,222000,197900,159100,Newfoundland
2009-10-01,199600,200400,184200,224700,198800,158000,Newfoundland
2009-11-01,202500,203300,186100,229000,199200,159000,Newfoundland
2009-12-01,205300,206100,188700,231600,200500,160300,Newfoundland
2010-01-01,210400,211400,193100,238600,201800,160900,Newfoundland
2010-02-01,213000,214000,194000,243600,203200,163500,Newfoundland
2010-03-01,215200,216100,196100,245900,207200,168500,Newfoundland
2010-04-01,217300,218100,198400,247700,208900,182700,Newfoundland
2010-05-01,220700,221600,203500,248600,211300,179600,Newfoundland
2010-06-01,223800,224700,206700,251800,216900,182000,Newfoundland
2010-07-01,225500,226300,208100,253500,220100,187600,Newfoundland
2010-08-01,226800,227600,209000,255100,222600,182700,Newfoundland
2010-09-01,227100,228000,207700,257300,225900,186800,Newfoundland
2010-10-01,228800,229700,209400,259600,231200,185800,Newfoundland
2010-11-01,228000,229000,209700,257500,235200,185500,Newfoundland
2010-12-01,230100,231000,210300,261200,237800,184100,Newfoundland
2011-01-01,229300,230200,211300,258200,242400,179500,Newfoundland
2011-02-01,228900,229700,210800,258400,240300,181500,Newfoundland
2011-03-01,230600,231500,213900,257400,240700,184000,Newfoundland
2011-04-01,231900,232900,215200,259400,241000,182200,Newfoundland
2011-05-01,232600,233400,215700,259900,242500,186900,Newfoundland
2011-06-01,233300,234200,214800,263900,241200,187900,Newfoundland
2011-07-01,232900,233800,214100,263600,240800,187200,Newfoundland
2011-08-01,235700,236500,216700,266200,244300,192000,Newfoundland
2011-09-01,238600,239200,218600,269400,245300,207700,Newfoundland
2011-10-01,239700,240100,219200,271300,245700,218800,Newfoundland
2011-11-01,243200,243900,220800,277800,254400,217000,Newfoundland
2011-12-01,244200,244400,223400,275400,258600,221700,Newfoundland
2012-01-01,244400,244600,225000,273700,256800,226300,Newfoundland
2012-02-01,245900,246400,227100,274800,259700,222500,Newfoundland
2012-03-01,249400,249900,228200,281800,247700,226800,Newfoundland
2012-04-01,248500,249100,228700,279200,257800,223600,Newfoundland
2012-05-01,248500,249100,229600,277800,260800,218000,Newfoundland
2012-06-01,247700,248100,228700,277600,264400,220200,Newfoundland
2012-07-01,250600,251400,231100,281600,245500,219700,Newfoundland
2012-08-01,253500,254200,231400,287700,253700,221200,Newfoundland
2012-09-01,254100,254900,232600,287300,262400,218000,Newfoundland
2012-10-01,255800,256600,235000,288400,266200,215300,Newfoundland
2012-11-01,257400,258400,238100,287400,258900,228900,Newfoundland
2012-12-01,258400,259100,239000,288400,268200,228800,Newfoundland
2013-01-01,261100,261800,239100,295400,255200,237700,Newfoundland
2013-02-01,263000,263600,241100,296900,275600,238900,Newfoundland
2013-03-01,262900,263200,242900,293600,269300,245400,Newfoundland
2013-04-01,263700,264400,244200,294800,262800,245900,Newfoundland
