Date,Composite,Single_family,One_storey,Two_storey,Townhouse,Apartment,Region
2005-01-01,182000,189900,153900,233700,182900,157600,Quebec
2005-02-01,182700,190200,154400,233900,183900,159800,Quebec
2005-03-01,183200,191600,155700,235600,184700,157300,Quebec
2005-04-01,184700,192800,156600,237000,186400,158700,Quebec
2005-05-01,183300,191700,157100,233400,186400,157300,Quebec
2005-06-01,184300,192500,156600,236800,187900,158400,Quebec
2005-07-01,185300,193500,157700,237300,191100,159200,Quebec
2005-08-01,185400,194100,158600,237600,188700,157500,Quebec
2005-09-01,186000,195100,160400,237500,187700,157300,Quebec
2005-10-01,187500,196600,161100,240000,189400,158800,Quebec
2005-11-01,187500,196800,161900,239300,186700,158800,Quebec
2005-12-01,187500,197700,162800,240100,184000,156200,Quebec
2006-01-01,188500,197900,162900,240500,187900,159500,Quebec
2006-02-01,189700,199500,164300,242500,191000,159000,Quebec
2006-03-01,189800,199300,164500,242100,191800,159600,Quebec
2006-04-01,191200,201100,165400,244500,194600,159500,Quebec
2006-05-01,191500,201200,165500,244400,195600,160800,Quebec
2006-06-01,192300,202100,167200,244800,202100,160900,Quebec
2006-07-01,192200,202200,167100,245400,195800,160100,Quebec
2006-08-01,193700,203400,168000,246900,197200,162600,Quebec
2006-09-01,194400,204300,168300,248400,193800,163500,Quebec
2006-10-01,195100,205000,168500,249600,197500,163900,Quebec
2006-11-01,196300,206900,170800,250800,196100,163100,Quebec
2006-12-01,197700,208000,172200,251600,200400,165400,Quebec
2007-01-01,199500,209700,173600,254100,201600,167100,Quebec
2007-02-01,200200,211000,174500,255800,203000,166200,Quebec
2007-03-01,202200,213000,176200,258000,205700,168100,Quebec
2007-04-01,202600,213500,176000,259100,206000,167800,Quebec
2007-05-01,204500,216100,178700,261600,204700,168500,Quebec
2007-06-01,205100,216800,180300,261700,208900,168600,Quebec
2007-07-01,207200,218900,181600,264800,207200,170200,Quebec
2007-08-01,208000,219700,181900,265900,208200,171400,Quebec
2007-09-01,209600,221400,183600,267700,210300,172700,Quebec
2007-10-01,211100,223400,185500,269800,213000,172600,Quebec
2007-11-01,212800,224900,185700,272400,215300,174700,Quebec
2007-12-01,214500,227200,188000,275100,217100,175600,Quebec
2008-01-01,214600,227800,188900,275200,219500,173300,Quebec
2008-02-01,216000,229000,189300,277300,218400,176000,Quebec
2008-03-01,217200,230500,190000,279500,219800,177400,Quebec
2008-04-01,218500,232000,191700,280600,219600,178300,Quebec
2008-05-01,218900,232100,191700,280900,222200,180100,Quebec
2008-06-01,220600,234100,192600,284100,225200,181400,Quebec
2008-07-01,220900,234200,193500,283800,221400,182400,Quebec
2008-08-01,222200,236100,194600,286200,224100,182100,Quebec
2008-09-01,222600,236800,195100,287100,226500,181600,Quebec
2008-10-01,221700,235800,195000,284900,228200,181200,Quebec
2008-11-01,221900,235500,195500,283200,234900,182000,Quebec
2008-12-01,222100,234900,193900,284300,231400,186300,Quebec
2009-01-01,222100,235700,193400,286900,232400,183000,Quebec
2009-02-01,222400,236000,194500,286000,230100,184000,Quebec
2009-03-01,222100,235600,194400,285200,229700,184300,Quebec
2009-04-01,223600,237100,195900,286400,234700,185600,Quebec
2009-05-01,224700,239000,197500,288700,236800,184900,Quebec
2009-06-01,225600,239800,198200,289700,239400,186200,Quebec
2009-07-01,227600,241800,200700,291300,237400,188500,Quebec
2009-08-01,228800,243400,202300,292700,241600,188900,Quebec
2009-09-01,230600,245400,202300,297100,241900,190500,Quebec
2009-10-01,233400,248000,204300,300700,243400,193800,Quebec
2009-11-01,235900,251600,206800,304400,239100,194600,Quebec
2009-12-01,234500,250900,207300,303100,240300,192500,Quebec
2010-01-01,238200,253600,210600,305200,249300,197300,Quebec
2010-02-01,239500,254800,212300,305200,256100,199600,Quebec
2010-03-01,241600,257200,213400,309500,255000,201200,Quebec
2010-04-01,242600,258300,214000,311200,261800,201800,Quebec
2010-05-01,245200,261000,215900,315000,259100,204800,Quebec
2010-06-01,246200,262700,216200,318300,266900,203700,Quebec
2010-07-01,247100,264700,217100,321900,260700,202800,Quebec
2010-08-01,246800,263700,217800,318700,261500,204500,Quebec
2010-09-01,247800,264900,218700,320600,260200,205400,Quebec
2010-10-01,250200,267100,221800,321700,262900,208400,Quebec
2010-11-01,252200,270000,222000,326800,266100,208300,Quebec
2010-12-01,253200,271600,223400,329200,267400,209500,Quebec
2011-01-01,254400,271800,224100,329100,276800,211800,Quebec
2011-02-01,255700,273700,224100,333100,277800,211600,Quebec
2011-03-01,256900,275300,226700,333800,279900,211800,Quebec
2011-04-01,257000,274700,225600,333500,278800,213900,Quebec
2011-05-01,257400,275600,227200,333400,277900,213600,Quebec
2011-06-01,258100,275500,227000,333000,278100,216300,Quebec
2011-07-01,258500,275800,227100,334200,284000,216600,Quebec
2011-08-01,260900,278700,228300,338500,286700,218300,Quebec
2011-09-01,262300,280500,230600,339700,286400,219300,Quebec
2011-10-01,262700,281400,230500,341500,288100,218600,Quebec
2011-11-01,263400,282000,231600,340700,285700,220100,Quebec
2011-12-01,264600,283600,232900,343400,297000,220300,Quebec
2012-01-01,266500,286300,233600,348600,298100,219900,Quebec
2012-02-01,267100,286700,233400,349400,291500,221800,Quebec
2012-03-01,267500,286900,233800,349500,293800,223100,Quebec
2012-04-01,268900,288600,235900,350500,286300,224000,Quebec
2012-05-01,269200,288400,235000,351100,291000,225700,Quebec
2012-06-01,269100,288900,236800,350000,291700,223900,Quebec
2012-07-01,270600,290500,236600,353900,290700,226300,Quebec
2012-08-01,270900,291300,237300,354800,292800,225500,Quebec
2012-09-01,271300,290600,238800,351600,291800,228400,Quebec
2012-10-01,269600,289700,237100,351700,290800,225200,Quebec
2012-11-01,269600,289400,236500,351400,289700,225400,Quebec
2012-12-01,271100,291200,237300,354500,302200,225800,Quebec
2013-01-01,271600,292100,237700,356100,297000,225800,Quebec
2013-02-01,271400,292100,239000,355000,295200,225400,Quebec
2013-03-01,272100,292600,240700,354400,298200,226700,Quebec
2013-04-01,270800,292400,238400,356500,298600,222600,Quebec
2013-05-01,271100,292600,238300,357000,296100,223400,Quebec
2013-06-01,271800,293700,238800,358600,296500,223500,Quebec
