Date,Composite,Single_family,One_storey,Two_storey,Townhouse,Apartment,Region
2005-01-01,114400,115900,106000,142700,118100,88300,Saskatchewan
2005-02-01,114200,115600,105800,141800,118500,87200,Saskatchewan
2005-03-01,113500,115200,105400,140600,117700,87500,Saskatchewan
2005-04-01,112600,114500,105000,139700,118400,87700,Saskatchewan
2005-05-01,112300,114300,105000,139600,118800,87100,Saskatchewan
2005-06-01,112800,114800,105500,141300,120300,87600,Saskatchewan
2005-07-01,113500,115400,105900,143300,120900,88200,Saskatchewan
2005-08-01,114800,116800,107000,145800,122100,88100,Saskatchewan
2005-09-01,116400,118200,108300,148400,123400,89300,Saskatchewan
2005-10-01,118000,119900,109800,150200,125300,88500,Saskatchewan
2005-11-01,119800,121400,111000,152100,127200,91100,Saskatchewan
2005-12-01,121200,122800,112400,153200,128400,92500,Saskatchewan
2006-01-01,122700,124100,112900,154600,128800,93200,Saskatchewan
2006-02-01,123000,124400,113200,154500,128200,95500,Saskatchewan
2006-03-01,122700,124300,113300,154200,128800,95600,Saskatchewan
2006-04-01,122500,124600,113300,153500,128900,96000,Saskatchewan
2006-05-01,122700,124900,113800,154900,128500,95800,Saskatchewan
2006-06-01,123200,125300,114300,157100,128900,97100,Saskatchewan
2006-07-01,125100,127300,115900,160700,130600,97600,Saskatchewan
2006-08-01,127000,128900,117400,163400,133200,99400,Saskatchewan
2006-09-01,129100,131300,119300,167300,136000,99000,Saskatchewan
2006-10-01,132300,134200,122000,171000,141500,100400,Saskatchewan
2006-11-01,136000,137900,125000,175500,146400,101300,Saskatchewan
2006-12-01,139700,141700,128300,179900,152300,102700,Saskatchewan
2007-01-01,142700,144500,131800,179000,152700,105700,Saskatchewan
2007-02-01,146500,148200,135600,182600,154600,110500,Saskatchewan
2007-03-01,151800,153000,140100,187700,169900,121400,Saskatchewan
2007-04-01,159300,159700,146300,194500,185700,142100,Saskatchewan
2007-05-01,171100,171100,156800,210000,199800,158100,Saskatchewan
2007-06-01,180600,180500,164500,226500,214400,165700,Saskatchewan
2007-07-01,191000,190800,174000,240400,225700,173700,Saskatchewan
2007-08-01,197900,197800,181200,247100,235300,178500,Saskatchewan
2007-09-01,201400,201200,184800,250800,235900,182900,Saskatchewan
2007-10-01,206500,206600,189900,256700,233800,185200,Saskatchewan
2007-11-01,209900,210100,192900,260100,233500,185900,Saskatchewan
2007-12-01,215800,217000,199900,264400,231900,184500,Saskatchewan
2008-01-01,223100,224300,205400,275600,241100,185000,Saskatchewan
2008-02-01,231400,232100,213400,283100,247900,199700,Saskatchewan
2008-03-01,239100,239900,220100,292200,258900,213500,Saskatchewan
2008-04-01,243900,244400,225200,295300,272500,227100,Saskatchewan
2008-05-01,244700,245500,226300,296400,272300,226500,Saskatchewan
2008-06-01,244500,245500,227400,296200,268100,225200,Saskatchewan
2008-07-01,243300,244300,226500,294400,262500,224400,Saskatchewan
2008-08-01,242700,243600,226200,293100,261600,223700,Saskatchewan
2008-09-01,241200,242100,224700,292100,257400,223500,Saskatchewan
2008-10-01,239200,239800,222600,288600,252200,222400,Saskatchewan
2008-11-01,236200,236500,219600,283700,246100,220800,Saskatchewan
2008-12-01,231800,232700,214500,280200,235800,213100,Saskatchewan
2009-01-01,229000,230500,213200,276000,235600,201700,Saskatchewan
2009-02-01,226400,228400,211300,273200,229600,196700,Saskatchewan
2009-03-01,223300,225800,209600,267800,224900,194800,Saskatchewan
2009-04-01,221900,224700,207600,267800,225400,194700,Saskatchewan
2009-05-01,222400,225100,208400,268400,226200,196400,Saskatchewan
2009-06-01,222800,225500,208700,270300,229100,193800,Saskatchewan
2009-07-01,225200,227800,210100,275200,232000,194200,Saskatchewan
2009-08-01,226900,229700,211500,278500,231700,195700,Saskatchewan
2009-09-01,230400,233200,214600,283000,235200,199700,Saskatchewan
2009-10-01,233700,236700,218200,285900,241000,196400,Saskatchewan
2009-11-01,238300,241100,222200,290600,245300,202000,Saskatchewan
2009-12-01,241500,244200,224700,292600,247400,207900,Saskatchewan
2010-01-01,243900,246500,227900,294700,247400,212300,Saskatchewan
2010-02-01,246500,249200,231000,296000,251800,214600,Saskatchewan
2010-03-01,249400,252400,233700,299200,255900,218400,Saskatchewan
2010-04-01,250400,254100,235500,301800,253600,217000,Saskatchewan
2010-05-01,250900,254600,236000,302000,255800,216400,Saskatchewan
2010-06-01,252000,256200,237500,304100,252700,215000,Saskatchewan
2010-07-01,253400,257700,238900,305900,254800,214800,Saskatchewan
2010-08-01,255800,260200,241500,309200,256600,216000,Saskatchewan
2010-09-01,256800,261400,241400,313100,258100,215500,Saskatchewan
2010-10-01,257200,261800,242000,311600,258200,214600,Saskatchewan
2010-11-01,257400,262200,242600,311600,258400,215800,Saskatchewan
2010-12-01,258900,263600,244400,310100,258400,217700,Saskatchewan
2011-01-01,260100,265000,244700,316300,259300,218200,Saskatchewan
2011-02-01,261200,265800,246100,314000,261900,221900,Saskatchewan
2011-03-01,261500,266500,246700,316100,260000,221300,Saskatchewan
2011-04-01,261800,266900,247100,314800,258600,221300,Saskatchewan
2011-05-01,262900,268400,248600,317200,256400,220800,Saskatchewan
2011-06-01,263800,269200,249200,317900,259300,222000,Saskatchewan
2011-07-01,264900,270500,251400,317000,259500,220100,Saskatchewan
2011-08-01,264900,270500,251800,317800,261000,218600,Saskatchewan
2011-09-01,267200,273300,254100,320200,261900,218400,Saskatchewan
2011-10-01,270100,276400,256500,324600,262100,221000,Saskatchewan
2011-11-01,273200,279600,259500,328100,265200,224900,Saskatchewan
2011-12-01,274900,281800,261600,329800,266700,222900,Saskatchewan
2012-01-01,276300,282800,262500,332100,270300,225700,Saskatchewan
2012-02-01,277500,284400,262600,335100,270600,226600,Saskatchewan
2012-03-01,278600,285200,263700,336900,275500,227800,Saskatchewan
2012-04-01,281000,288000,265900,339600,274100,228400,Saskatchewan
2012-05-01,283500,290600,268100,343800,273600,230500,Saskatchewan
2012-06-01,285500,292700,270400,345000,273400,232900,Saskatchewan
2012-07-01,287800,295200,272200,348800,273100,235500,Saskatchewan
2012-08-01,288700,296000,273700,349300,277500,235900,Saskatchewan
2012-09-01,290500,297700,275300,350000,279700,237500,Saskatchewan
2012-10-01,290800,297900,274500,351600,282500,237000,Saskatchewan
2012-11-01,290800,298000,274400,351300,281900,237100,Saskatchewan
2012-12-01,292800,300300,275900,355000,283800,237200,Saskatchewan
2013-01-01,294200,301800,278100,355500,283200,238500,Saskatchewan
2013-02-01,296200,304300,279400,359000,284200,237800,Saskatchewan
2013-03-01,295100,303300,278700,357000,283000,234800,Saskatchewan
2013-04-01,294500,302400,276800,359300,284800,234700,Saskatchewan
2013-05-01,294500,302700,277800,357600,281500,233500,Saskatchewan
2013-06-01,295700,303900,278900,358600,285400,235000,Saskatchewan
2013-07-01,295800,303900,278600,359300,286100,235000,Saskatchewan
2013-08-01,297000,305300,280600,359700,285900,234500,Saskatchewan
2013-09-01,297700,306200,280200,362200,286400,235200,Saskatchewan
2013-10-01,298700,307500,282400,362200,284900,233400,Saskatchewan
2013-11-01,299300,308100,282400,363900,285100,234500,Saskatchewan
2013-12-01,298900,307700,282300,362300,285300,234300,Saskatchewan
2014-01-01,299500,308700,283600,363000,285300,231000,Saskatchewan
2014-02-01,299600,308100,282900,361900,286500,235300,Saskatchewan
2014-03-01,300500,308800,283600,363300,288000,239700,Saskatchewan
2014-04-01,301200,309500,283900,362400,288300,240600,Saskatchewan
2014-05-01,301100,309500,284400,363300,287200,240400,Saskatchewan
2014-06-01,301500,309900,284500,364300,290500,239200,Saskatchewan
2014-07-01,301700,310300,285100,364600,288200,239400,Saskatchewan
2014-08-01,302000,310500,283800,367600,290000,240600,Saskatchewan
2014-09-01,302300,311100,284400,367700,289700,239200,Saskatchewan
2014-10-01,301800,310600,284300,366400,290700,237500,Saskatchewan
2014-11-01,302500,311400,285200,366900,291100,236900,Saskatchewan
2014-12-01,302700,311500,285000,366300,291300,239800,Saskatchewan
2015-01-01,302300,311200,283700,369600,286200,241100,Saskatchewan
2015-02-01,302000,311000,283200,370200,281800,241500,Saskatchewan
2015-03-01,300600,309400,283800,362400,286400,239400,Saskatchewan
2015-04-01,300900,309800,284500,363100,284900,240500,Saskatchewan
2015-05-01,300600,309400,283800,363500,285100,241200,Saskatchewan
2015-06-01,300200,309100,282500,365700,283700,240800,Saskatchewan
2015-07-01,300200,309300,282200,366400,286000,237900,Saskatchewan
2015-08-01,299600,308900,282600,364400,286100,233700,Saskatchewan
2015-09-01,299600,309100,283700,361400,288100,232400,Saskatchewan
2015-10-01,300300,309900,283700,364900,282800,235500,Saskatchewan
2015-11-01,300200,310100,284500,364100,281500,233100,Saskatchewan
2015-12-01,302800,313100,286000,367500,281000,235500,Saskatchewan
2016-01-01,300900,311400,285200,366600,284400,227800,Saskatchewan
2016-02-01,301800,312800,286700,367800,280600,225700,Saskatchewan
2016-03-01,302100,313100,285800,369900,281000,225100,Saskatchewan
2016-04-01,302000,313200,286300,369900,279600,224800,Saskatchewan
2016-05-01,302300,313400,287100,367900,282400,223800,Saskatchewan
2016-06-01,302000,313000,287600,365900,281100,223400,Saskatchewan
2016-07-01,302900,313900,288500,366100,282000,226100,Saskatchewan
2016-08-01,303500,314500,288200,368000,279900,227900,Saskatchewan
2016-09-01,303100,314300,287700,368100,278300,226000,Saskatchewan
2016-10-01,302300,313700,287300,366800,278000,223200,Saskatchewan
2016-11-01,301100,312400,286100,365700,275600,223800,Saskatchewan
2016-12-01,299900,310900,283600,364800,276000,224100,Saskatchewan
2017-01-01,299500,309800,284100,362300,276500,229400,Saskatchewan
2017-02-01,298900,309600,283000,364100,274800,225500,Saskatchewan
2017-03-01,300300,311600,286200,366300,272100,222100,Saskatchewan
2017-04-01,300400,311300,282700,368000,272000,227100,Saskatchewan
2017-05-01,299300,310300,282200,367300,275700,220900,Saskatchewan
2017-06-01,297600,308600,281100,365300,275000,217500,Saskatchewan
2017-07-01,295600,306400,278900,362500,275500,214800,Saskatchewan
2017-08-01,294400,305100,276900,361700,270100,217000,Saskatchewan
2017-09-01,293100,303800,275100,361300,267600,217800,Saskatchewan
2017-10-01,292100,302400,273600,360700,267700,218700,Saskatchewan
2017-11-01,290700,301100,272100,359300,269600,216600,Saskatchewan
2017-12-01,289700,299800,271200,356600,271500,213800,Saskatchewan
2018-01-01,290100,300600,272200,357900,270500,212300,Saskatchewan
2018-02-01,289800,300200,272700,355800,269200,215300,Saskatchewan
2018-03-01,287700,297700,270600,353500,262400,214700,Saskatchewan
2018-04-01,286500,296500,268000,354000,265100,210600,Saskatchewan
2018-05-01,286200,296400,266400,356300,263400,209900,Saskatchewan
2018-06-01,286600,297000,266100,359800,263400,209000,Saskatchewan
2018-07-01,285700,296300,265600,357100,262700,207800,Saskatchewan
2018-08-01,284700,295400,266400,352500,262400,204800,Saskatchewan
2018-09-01,283800,294200,264400,353700,263600,204600,Saskatchewan
2018-10-01,283800,294000,264000,353900,264600,205400,Saskatchewan
2018-11-01,285000,295000,264200,356500,265400,211400,Saskatchewan
2018-12-01,284200,295000,263700,357300,262100,204300,Saskatchewan
2019-01-01,283100,293600,261200,359000,263500,203800,Saskatchewan
2019-02-01,279500,291300,259200,355100,249800,197600,Saskatchewan
2019-03-01,278100,289400,259400,351600,255100,190600,Saskatchewan
2019-04-01,281300,292600,261000,352500,257700,194400,Saskatchewan
2019-05-01,282000,293400,262600,353000,256300,197100,Saskatchewan
2019-06-01,281700,292600,261500,353800,259200,201100,Saskatchewan
2019-07-01,281500,292300,260700,354000,259300,202000,Saskatchewan
2019-08-01,281200,292100,259000,355800,260200,199600,Saskatchewan
2019-09-01,281300,292400,260200,354800,262400,198300,Saskatchewan
2019-10-01,281200,292600,260000,356000,257400,197500,Saskatchewan
2019-11-01,281200,292900,260000,356300,261400,194500,Saskatchewan
2019-12-01,282500,293900,261100,356600,264000,196100,Saskatchewan
2020-01-01,282000,293800,261000,356900,259400,195100,Saskatchewan
2020-02-01,282100,294200,260100,358900,258900,194900,Saskatchewan
2020-03-01,281400,292700,259400,357200,258900,196100,Saskatchewan
2020-04-01,280800,292200,259500,352000,258100,194300,Saskatchewan
2020-05-01,281900,293100,257500,359000,259300,194600,Saskatchewan
2020-06-01,284700,296500,262200,361900,259800,192500,Saskatchewan
2020-07-01,288200,300100,265400,365400,261600,196600,Saskatchewan
2020-08-01,291100,303100,268600,368000,265000,198400,Saskatchewan
2020-09-01,294800,307300,271800,374000,265600,199600,Saskatchewan
2020-10-01,297600,310300,274800,376700,270100,198000,Saskatchewan
2020-11-01,298500,311600,276400,377200,268500,198300,Saskatchewan
2020-12-01,299600,312500,276200,379400,274200,198200,Saskatchewan
2021-01-01,300400,313400,277700,379900,271400,198900,Saskatchewan
2021-02-01,306700,320200,284200,386800,275300,201700,Saskatchewan
2021-03-01,310700,324000,286900,392100,277100,205700,Saskatchewan
2021-04-01,313300,326400,288700,394600,281400,210200,Saskatchewan
2021-05-01,314300,327500,289700,395500,281700,209300,Saskatchewan
2021-06-01,313700,327000,289700,395200,279600,207500,Saskatchewan
2021-07-01,312900,326800,289800,394500,278000,202600,Saskatchewan
2021-08-01,313700,327700,290700,395600,278600,204900,Saskatchewan
2021-09-01,314200,328100,290500,396500,280700,206100,Saskatchewan
2021-10-01,315500,329400,291300,398700,279400,207700,Saskatchewan
2021-11-01,318300,332200,293100,403400,282700,211400,Saskatchewan
2021-12-01,320800,335000,295500,406200,283700,211800,Saskatchewan
2022-01-01,322200,336300,296400,409500,290500,212000,Saskatchewan
2022-02-01,323000,337000,297200,409800,291100,211700,Saskatchewan
2022-03-01,324800,339500,299400,413500,291800,209200,Saskatchewan
2022-04-01,326100,341200,300100,414800,293200,209500,Saskatchewan
2022-05-01,326400,341500,301300,415000,289900,209600,Saskatchewan
2022-06-01,328000,343200,302100,419400,297700,209700,Saskatchewan
2022-07-01,329100,344200,301800,423200,301000,211000,Saskatchewan
2022-08-01,329200,344100,301200,424900,302300,213900,Saskatchewan
2022-09-01,327600,342600,300800,421400,302700,210200,Saskatchewan
