"date","composite_hpi_sa","composite_benchmark_sa","mortgage_rate","immigrants"
"2005-02",100.6,222500,5.59,18812.66667
"2005-03",101.4,224200,5.6,18812.66667
"2005-04",102.2,225900,5.67,24823.66667
"2005-05",102.8,227400,5.55,24823.66667
"2005-06",103.8,229600,5.31,24823.66667
"2005-07",105.1,232400,5.26,25315
"2005-08",106.5,235400,5.32,25315
"2005-09",107.9,238500,5.3,25315
"2005-10",109.4,241900,5.39,18462
"2005-11",111,245400,5.56,18462
"2005-12",112.4,248500,5.6,18462
"2006-01",114.1,252200,5.65,18378
"2006-02",115.6,255600,5.75,18378
"2006-03",117.2,259100,5.78,18378
"2006-04",119,263000,5.88,22636.33333
"2006-05",120.7,266900,6.05,22636.33333
"2006-06",122.4,270700,6.12,22636.33333
"2006-07",124.1,274300,6.26,23452
"2006-08",125.6,277800,6.24,23452
"2006-09",127.2,281200,6.13,23452
"2006-10",128.3,283700,6.01,19415
"2006-11",129.5,286300,5.99,19415
"2006-12",130.9,289400,5.89,19415
"2007-01",132.3,292600,5.91,15958.33333
"2007-02",134.1,296500,6,15958.33333
"2007-03",135.7,300100,5.91,15958.33333
"2007-04",137.3,303500,5.92,20549.66667
"2007-05",139.1,307600,6.01,20549.66667
"2007-06",140.7,311100,6.51,20549.66667
"2007-07",142.1,314200,6.6,23885.66667
"2007-08",143.3,316800,6.62,23885.66667
"2007-09",144.5,319400,6.61,23885.66667
"2007-10",145.6,321900,6.69,18524.33333
"2007-11",146.6,324200,6.73,18524.33333
"2007-12",147.8,326800,6.75,18524.33333
"2008-01",148.6,328500,6.81,17715
"2008-02",148.9,329200,6.72,17715
"2008-03",148.9,329300,6.6,17715
"2008-04",148.4,328200,6.4,23082.33333
"2008-05",147.6,326300,6.21,23082.33333
"2008-06",146.8,324500,6.2,23082.33333
"2008-07",145.7,322200,6.37,23770.66667
"2008-08",144.8,320200,6.25,23770.66667
"2008-09",144,318400,6.16,23770.66667
"2008-10",142.2,314400,6.46,17847.66667
"2008-11",140.7,311100,6.51,17847.66667
"2008-12",138.9,307200,6.17,17847.66667
"2009-01",137.4,303900,5.78,16927.66667
"2009-02",136.3,301300,5.28,16927.66667
"2009-03",135.4,299400,5.14,16927.66667
"2009-04",136,300700,4.79,23217
"2009-05",137,303000,4.62,23217
"2009-06",138.8,306800,4.9,23217
"2009-07",140.8,311200,5.14,25130
"2009-08",142.8,315700,5.13,25130
"2009-09",145,320500,4.97,25130
"2009-10",147.1,325200,5,18784.33333
"2009-11",149.1,329600,5.06,18784.33333
"2009-12",150.7,333300,4.83,18784.33333
"2010-01",152,336100,4.8,19347
"2010-02",153,338300,4.73,19347
"2010-03",153.8,340000,4.71,19347
"2010-04",154,340500,5.15,26932.33333
"2010-05",153.9,340300,5.3,26932.33333
"2010-06",153.4,339100,5.18,26932.33333
"2010-07",153,338300,5.02,28097.33333
"2010-08",152.9,338000,4.82,28097.33333
"2010-09",153,338200,4.6,28097.33333
"2010-10",153.5,339300,4.52,19184
"2010-11",154.3,341100,4.45,19184
"2010-12",155,342800,4.5,19184
