immigrants,date
18812.66667,2005-01
18812.66667,2005-02
18812.66667,2005-03
24823.66667,2005-04
24823.66667,2005-05
24823.66667,2005-06
25315,2005-07
25315,2005-08
25315,2005-09
18462,2005-10
18462,2005-11
18462,2005-12
18378,2006-01
18378,2006-02
18378,2006-03
22636.33333,2006-04
22636.33333,2006-05
22636.33333,2006-06
23452,2006-07
23452,2006-08
23452,2006-09
19415,2006-10
19415,2006-11
19415,2006-12
15958.33333,2007-01
15958.33333,2007-02
15958.33333,2007-03
20549.66667,2007-04
20549.66667,2007-05
20549.66667,2007-06
23885.66667,2007-07
23885.66667,2007-08
23885.66667,2007-09
18524.33333,2007-10
18524.33333,2007-11
18524.33333,2007-12
17715,2008-01
17715,2008-02
17715,2008-03
23082.33333,2008-04
23082.33333,2008-05
23082.33333,2008-06
23770.66667,2008-07
23770.66667,2008-08
23770.66667,2008-09
17847.66667,2008-10
17847.66667,2008-11
17847.66667,2008-12
16927.66667,2009-01
16927.66667,2009-02
16927.66667,2009-03
23217,2009-04
23217,2009-05
23217,2009-06
25130,2009-07
25130,2009-08
25130,2009-09
18784.33333,2009-10
18784.33333,2009-11
18784.33333,2009-12
19347,2010-01
19347,2010-02
19347,2010-03
26932.33333,2010-04
26932.33333,2010-05
26932.33333,2010-06
28097.33333,2010-07
28097.33333,2010-08
28097.33333,2010-09
19184,2010-10
19184,2010-11
19184,2010-12
16523.33333,2011-01
16523.33333,2011-02
16523.33333,2011-03
22565.33333,2011-04
22565.33333,2011-05
22565.33333,2011-06
23954.66667,2011-07
23954.66667,2011-08
23954.66667,2011-09
19867.66667,2011-10
19867.66667,2011-11
19867.66667,2011-12
18521,2012-01
18521,2012-02
18521,2012-03
24335.33333,2012-04
24335.33333,2012-05
24335.33333,2012-06
22300.66667,2012-07
22300.66667,2012-08
22300.66667,2012-09
20779.33333,2012-10
20779.33333,2012-11
20779.33333,2012-12
19417.66667,2013-01
19417.66667,2013-02
19417.66667,2013-03
25202.66667,2013-04
25202.66667,2013-05
25202.66667,2013-06
21802,2013-07
21802,2013-08
21802,2013-09
19923.66667,2013-10
19923.66667,2013-11
19923.66667,2013-12
21486,2014-01
21486,2014-02
21486,2014-03
26096.33333,2014-04
26096.33333,2014-05
26096.33333,2014-06
21847.33333,2014-07
21847.33333,2014-08
21847.33333,2014-09
17335.66667,2014-10
17335.66667,2014-11
17335.66667,2014-12
17041,2015-01
17041,2015-02
17041,2015-03
24030.33333,2015-04
24030.33333,2015-05
24030.33333,2015-06
26300.66667,2015-07
26300.66667,2015-08
26300.66667,2015-09
23247,2015-10
23247,2015-11
23247,2015-12
28749,2016-01
28749,2016-02
28749,2016-03
29434,2016-04
29434,2016-05
29434,2016-06
22747.33333,2016-07
22747.33333,2016-08
22747.33333,2016-09
17871.33333,2016-10
17871.33333,2016-11
17871.33333,2016-12
24279.66667,2017-01
24279.66667,2017-02
24279.66667,2017-03
26004,2017-04
26004,2017-05
26004,2017-06
23369.66667,2017-07
23369.66667,2017-08
23369.66667,2017-09
21843.33333,2017-10
21843.33333,2017-11
21843.33333,2017-12
26669,2018-01
26669,2018-02
26669,2018-03
29226.33333,2018-04
29226.33333,2018-05
29226.33333,2018-06
27427.66667,2018-07
27427.66667,2018-08
27427.66667,2018-09
23693.33333,2018-10
23693.33333,2018-11
23693.33333,2018-12
21985.66667,2019-01
21985.66667,2019-02
21985.66667,2019-03
31427,2019-04
31427,2019-05
31427,2019-06
34573,2019-07
34573,2019-08
34573,2019-09
25745,2019-10
25745,2019-11
25745,2019-12
23044.33333,2020-01
23044.33333,2020-02
23044.33333,2020-03
11356.66667,2020-04
11356.66667,2020-05
11356.66667,2020-06
13372,2020-07
13372,2020-08
13372,2020-09
13755.66667,2020-10
13755.66667,2020-11
13755.66667,2020-12
23495.66667,2021-01
23495.66667,2021-02
23495.66667,2021-03
24812.66667,2021-04
24812.66667,2021-05
24812.66667,2021-06
40970.33333,2021-07
40970.33333,2021-08
40970.33333,2021-09
46063.33333,2021-10
46063.33333,2021-11
46063.33333,2021-12
