Date,,0,Region
Jan 2005,Composite,182500,Alberta
Jan 2005,Single_family,207800,Alberta
Jan 2005,One_storey,184200,Alberta
Jan 2005,Two_storey,247400,Alberta
Jan 2005,Townhouse,127900,Alberta
Jan 2005,Apartment,116100,Alberta
Feb 2005,Composite,182700,Alberta
Feb 2005,Single_family,207200,Alberta
Feb 2005,One_storey,183300,Alberta
Feb 2005,Two_storey,246300,Alberta
Feb 2005,Townhouse,128900,Alberta
Feb 2005,Apartment,116500,Alberta
Mar 2005,Composite,182100,Alberta
Mar 2005,Single_family,206300,Alberta
Mar 2005,One_storey,182000,Alberta
Mar 2005,Two_storey,245500,Alberta
Mar 2005,Townhouse,129100,Alberta
Mar 2005,Apartment,116400,Alberta
Apr 2005,Composite,181500,Alberta
Apr 2005,Single_family,205100,Alberta
Apr 2005,One_storey,180300,Alberta
Apr 2005,Two_storey,243600,Alberta
Apr 2005,Townhouse,129900,Alberta
Apr 2005,Apartment,116200,Alberta
May 2005,Composite,180100,Alberta
May 2005,Single_family,203500,Alberta
May 2005,One_storey,178700,Alberta
May 2005,Two_storey,241300,Alberta
May 2005,Townhouse,129000,Alberta
May 2005,Apartment,115100,Alberta
Jun 2005,Composite,180900,Alberta
Jun 2005,Single_family,204500,Alberta
Jun 2005,One_storey,179200,Alberta
Jun 2005,Two_storey,242100,Alberta
Jun 2005,Townhouse,129700,Alberta
Jun 2005,Apartment,114800,Alberta
Jul 2005,Composite,183900,Alberta
Jul 2005,Single_family,208200,Alberta
Jul 2005,One_storey,182100,Alberta
Jul 2005,Two_storey,245700,Alberta
Jul 2005,Townhouse,131200,Alberta
Jul 2005,Apartment,116200,Alberta
Aug 2005,Composite,188600,Alberta
Aug 2005,Single_family,213600,Alberta
Aug 2005,One_storey,187400,Alberta
Aug 2005,Two_storey,250100,Alberta
Aug 2005,Townhouse,134100,Alberta
Aug 2005,Apartment,117600,Alberta
Sep 2005,Composite,193400,Alberta
Sep 2005,Single_family,219200,Alberta
Sep 2005,One_storey,191800,Alberta
Sep 2005,Two_storey,257000,Alberta
Sep 2005,Townhouse,138000,Alberta
Sep 2005,Apartment,120600,Alberta
Oct 2005,Composite,201200,Alberta
Oct 2005,Single_family,228100,Alberta
Oct 2005,One_storey,198600,Alberta
Oct 2005,Two_storey,267700,Alberta
Oct 2005,Townhouse,143500,Alberta
Oct 2005,Apartment,124000,Alberta
Nov 2005,Composite,209200,Alberta
Nov 2005,Single_family,237000,Alberta
Nov 2005,One_storey,205900,Alberta
Nov 2005,Two_storey,278000,Alberta
Nov 2005,Townhouse,150200,Alberta
Nov 2005,Apartment,128600,Alberta
Dec 2005,Composite,216700,Alberta
Dec 2005,Single_family,245000,Alberta
Dec 2005,One_storey,212200,Alberta
Dec 2005,Two_storey,287600,Alberta
Dec 2005,Townhouse,156500,Alberta
Dec 2005,Apartment,133700,Alberta
Jan 2006,Composite,224800,Alberta
Jan 2006,Single_family,254100,Alberta
Jan 2006,One_storey,219100,Alberta
Jan 2006,Two_storey,298900,Alberta
Jan 2006,Townhouse,162400,Alberta
Jan 2006,Apartment,138000,Alberta
Feb 2006,Composite,231900,Alberta
Feb 2006,Single_family,262100,Alberta
Feb 2006,One_storey,225100,Alberta
Feb 2006,Two_storey,308900,Alberta
Feb 2006,Townhouse,168600,Alberta
Feb 2006,Apartment,142400,Alberta
Mar 2006,Composite,239100,Alberta
Mar 2006,Single_family,270000,Alberta
Mar 2006,One_storey,231300,Alberta
Mar 2006,Two_storey,318800,Alberta
Mar 2006,Townhouse,174200,Alberta
Mar 2006,Apartment,147400,Alberta
Apr 2006,Composite,250500,Alberta
Apr 2006,Single_family,282700,Alberta
Apr 2006,One_storey,241400,Alberta
Apr 2006,Two_storey,333900,Alberta
Apr 2006,Townhouse,183400,Alberta
Apr 2006,Apartment,154300,Alberta
May 2006,Composite,263300,Alberta
May 2006,Single_family,296500,Alberta
May 2006,One_storey,253300,Alberta
May 2006,Two_storey,349700,Alberta
May 2006,Townhouse,194200,Alberta
May 2006,Apartment,163800,Alberta
Jun 2006,Composite,276900,Alberta
Jun 2006,Single_family,311400,Alberta
Jun 2006,One_storey,266300,Alberta
Jun 2006,Two_storey,366600,Alberta
Jun 2006,Townhouse,205700,Alberta
Jun 2006,Apartment,174100,Alberta
Jul 2006,Composite,290600,Alberta
Jul 2006,Single_family,325800,Alberta
Jul 2006,One_storey,279500,Alberta
Jul 2006,Two_storey,381900,Alberta
Jul 2006,Townhouse,218400,Alberta
Jul 2006,Apartment,185500,Alberta
Aug 2006,Composite,303800,Alberta
Aug 2006,Single_family,339700,Alberta
Aug 2006,One_storey,292700,Alberta
Aug 2006,Two_storey,395800,Alberta
Aug 2006,Townhouse,230200,Alberta
Aug 2006,Apartment,196400,Alberta
