Date,,0,Region
Jan 2005,Composite,129700,Newfoundland
Jan 2005,Single_family,129800,Newfoundland
Jan 2005,One_storey,114800,Newfoundland
Jan 2005,Two_storey,150900,Newfoundland
Jan 2005,Townhouse,129900,Newfoundland
Jan 2005,Apartment,108100,Newfoundland
Feb 2005,Composite,131000,Newfoundland
Feb 2005,Single_family,131100,Newfoundland
Feb 2005,One_storey,116400,Newfoundland
Feb 2005,Two_storey,151900,Newfoundland
Feb 2005,Townhouse,130900,Newfoundland
Feb 2005,Apartment,108500,Newfoundland
Mar 2005,Composite,132300,Newfoundland
Mar 2005,Single_family,132500,Newfoundland
Mar 2005,One_storey,118100,Newfoundland
Mar 2005,Two_storey,152800,Newfoundland
Mar 2005,Townhouse,131600,Newfoundland
Mar 2005,Apartment,107300,Newfoundland
Apr 2005,Composite,133100,Newfoundland
Apr 2005,Single_family,133300,Newfoundland
Apr 2005,One_storey,119000,Newfoundland
Apr 2005,Two_storey,153200,Newfoundland
Apr 2005,Townhouse,132400,Newfoundland
Apr 2005,Apartment,110200,Newfoundland
May 2005,Composite,133600,Newfoundland
May 2005,Single_family,133900,Newfoundland
May 2005,One_storey,120000,Newfoundland
May 2005,Two_storey,153500,Newfoundland
May 2005,Townhouse,133400,Newfoundland
May 2005,Apartment,109800,Newfoundland
Jun 2005,Composite,134200,Newfoundland
Jun 2005,Single_family,134400,Newfoundland
Jun 2005,One_storey,120900,Newfoundland
Jun 2005,Two_storey,153400,Newfoundland
Jun 2005,Townhouse,133400,Newfoundland
Jun 2005,Apartment,110300,Newfoundland
Jul 2005,Composite,133900,Newfoundland
Jul 2005,Single_family,134000,Newfoundland
Jul 2005,One_storey,121200,Newfoundland
Jul 2005,Two_storey,152200,Newfoundland
Jul 2005,Townhouse,133500,Newfoundland
Jul 2005,Apartment,109700,Newfoundland
Aug 2005,Composite,133500,Newfoundland
Aug 2005,Single_family,133700,Newfoundland
Aug 2005,One_storey,121400,Newfoundland
Aug 2005,Two_storey,151000,Newfoundland
Aug 2005,Townhouse,132600,Newfoundland
Aug 2005,Apartment,109200,Newfoundland
Sep 2005,Composite,133300,Newfoundland
Sep 2005,Single_family,133500,Newfoundland
Sep 2005,One_storey,121700,Newfoundland
Sep 2005,Two_storey,149500,Newfoundland
Sep 2005,Townhouse,132000,Newfoundland
Sep 2005,Apartment,108700,Newfoundland
Oct 2005,Composite,133700,Newfoundland
Oct 2005,Single_family,134000,Newfoundland
Oct 2005,One_storey,122000,Newfoundland
Oct 2005,Two_storey,150900,Newfoundland
Oct 2005,Townhouse,131200,Newfoundland
Oct 2005,Apartment,108300,Newfoundland
Nov 2005,Composite,134400,Newfoundland
Nov 2005,Single_family,134600,Newfoundland
Nov 2005,One_storey,122300,Newfoundland
Nov 2005,Two_storey,151900,Newfoundland
Nov 2005,Townhouse,130700,Newfoundland
Nov 2005,Apartment,107900,Newfoundland
Dec 2005,Composite,135100,Newfoundland
Dec 2005,Single_family,135400,Newfoundland
Dec 2005,One_storey,122700,Newfoundland
Dec 2005,Two_storey,153000,Newfoundland
Dec 2005,Townhouse,129500,Newfoundland
Dec 2005,Apartment,107600,Newfoundland
Jan 2006,Composite,135800,Newfoundland
Jan 2006,Single_family,136100,Newfoundland
Jan 2006,One_storey,123400,Newfoundland
Jan 2006,Two_storey,153800,Newfoundland
Jan 2006,Townhouse,127900,Newfoundland
Jan 2006,Apartment,108100,Newfoundland
Feb 2006,Composite,136400,Newfoundland
Feb 2006,Single_family,136800,Newfoundland
Feb 2006,One_storey,124000,Newfoundland
Feb 2006,Two_storey,154600,Newfoundland
Feb 2006,Townhouse,125900,Newfoundland
Feb 2006,Apartment,108500,Newfoundland
Mar 2006,Composite,137000,Newfoundland
Mar 2006,Single_family,137400,Newfoundland
Mar 2006,One_storey,124600,Newfoundland
Mar 2006,Two_storey,155400,Newfoundland
Mar 2006,Townhouse,123600,Newfoundland
Mar 2006,Apartment,108900,Newfoundland
Apr 2006,Composite,137000,Newfoundland
Apr 2006,Single_family,137400,Newfoundland
Apr 2006,One_storey,125100,Newfoundland
Apr 2006,Two_storey,154800,Newfoundland
Apr 2006,Townhouse,121500,Newfoundland
Apr 2006,Apartment,108600,Newfoundland
May 2006,Composite,137000,Newfoundland
