Date,,0,Region
Jan 2005,Composite,219800,Ontario
Jan 2005,Single_family,229900,Ontario
Jan 2005,One_storey,202700,Ontario
Jan 2005,Two_storey,246800,Ontario
Jan 2005,Townhouse,169100,Ontario
Jan 2005,Apartment,157600,Ontario
Feb 2005,Composite,222500,Ontario
Feb 2005,Single_family,232900,Ontario
Feb 2005,One_storey,203700,Ontario
Feb 2005,Two_storey,250800,Ontario
Feb 2005,Townhouse,170200,Ontario
Feb 2005,Apartment,161300,Ontario
Mar 2005,Composite,225400,Ontario
Mar 2005,Single_family,236100,Ontario
Mar 2005,One_storey,204100,Ontario
Mar 2005,Two_storey,255500,Ontario
Mar 2005,Townhouse,171600,Ontario
Mar 2005,Apartment,165300,Ontario
Apr 2005,Composite,229300,Ontario
Apr 2005,Single_family,240600,Ontario
Apr 2005,One_storey,207300,Ontario
Apr 2005,Two_storey,260500,Ontario
Apr 2005,Townhouse,173000,Ontario
Apr 2005,Apartment,168500,Ontario
May 2005,Composite,233000,Ontario
May 2005,Single_family,244800,Ontario
May 2005,One_storey,209600,Ontario
May 2005,Two_storey,265500,Ontario
May 2005,Townhouse,174200,Ontario
May 2005,Apartment,172400,Ontario
Jun 2005,Composite,236800,Ontario
Jun 2005,Single_family,249300,Ontario
Jun 2005,One_storey,212700,Ontario
Jun 2005,Two_storey,270600,Ontario
Jun 2005,Townhouse,175600,Ontario
Jun 2005,Apartment,174500,Ontario
Jul 2005,Composite,240000,Ontario
Jul 2005,Single_family,253000,Ontario
Jul 2005,One_storey,214400,Ontario
Jul 2005,Two_storey,275400,Ontario
Jul 2005,Townhouse,177600,Ontario
Jul 2005,Apartment,176900,Ontario
Aug 2005,Composite,243400,Ontario
Aug 2005,Single_family,256900,Ontario
Aug 2005,One_storey,217100,Ontario
Aug 2005,Two_storey,279500,Ontario
Aug 2005,Townhouse,179600,Ontario
Aug 2005,Apartment,178900,Ontario
Sep 2005,Composite,246400,Ontario
Sep 2005,Single_family,260100,Ontario
