,Date,Features,0,Region
0,Jan 2005,Composite,219800,Ontario
1,Jan 2005,Single_family,229900,Ontario
2,Jan 2005,One_storey,202700,Ontario
3,Jan 2005,Two_storey,246800,Ontario
4,Jan 2005,Townhouse,169100,Ontario
5,Jan 2005,Apartment,157600,Ontario
6,Feb 2005,Composite,222500,Ontario
7,Feb 2005,Single_family,232900,Ontario
8,Feb 2005,One_storey,203700,Ontario
9,Feb 2005,Two_storey,250800,Ontario
10,Feb 2005,Townhouse,170200,Ontario
11,Feb 2005,Apartment,161300,Ontario
12,Mar 2005,Composite,225400,Ontario
13,Mar 2005,Single_family,236100,Ontario
14,Mar 2005,One_storey,204100,Ontario
15,Mar 2005,Two_storey,255500,Ontario
16,Mar 2005,Townhouse,171600,Ontario
17,Mar 2005,Apartment,165300,Ontario
18,Apr 2005,Composite,229300,Ontario
19,Apr 2005,Single_family,240600,Ontario
20,Apr 2005,One_storey,207300,Ontario
21,Apr 2005,Two_storey,260500,Ontario
22,Apr 2005,Townhouse,173000,Ontario
23,Apr 2005,Apartment,168500,Ontario
24,May 2005,Composite,233000,Ontario
25,May 2005,Single_family,244800,Ontario
26,May 2005,One_storey,209600,Ontario
27,May 2005,Two_storey,265500,Ontario
28,May 2005,Townhouse,174200,Ontario
29,May 2005,Apartment,172400,Ontario
30,Jun 2005,Composite,236800,Ontario
31,Jun 2005,Single_family,249300,Ontario
32,Jun 2005,One_storey,212700,Ontario
33,Jun 2005,Two_storey,270600,Ontario
34,Jun 2005,Townhouse,175600,Ontario
35,Jun 2005,Apartment,174500,Ontario
36,Jul 2005,Composite,240000,Ontario
37,Jul 2005,Single_family,253000,Ontario
38,Jul 2005,One_storey,214400,Ontario
39,Jul 2005,Two_storey,275400,Ontario
40,Jul 2005,Townhouse,177600,Ontario
41,Jul 2005,Apartment,176900,Ontario
42,Aug 2005,Composite,243400,Ontario
43,Aug 2005,Single_family,256900,Ontario
44,Aug 2005,One_storey,217100,Ontario
45,Aug 2005,Two_storey,279500,Ontario
46,Aug 2005,Townhouse,179600,Ontario
47,Aug 2005,Apartment,178900,Ontario
48,Sep 2005,Composite,246400,Ontario
49,Sep 2005,Single_family,260100,Ontario
50,Sep 2005,One_storey,219500,Ontario
51,Sep 2005,Two_storey,283200,Ontario
52,Sep 2005,Townhouse,181200,Ontario
53,Sep 2005,Apartment,181100,Ontario
54,Oct 2005,Composite,249700,Ontario
55,Oct 2005,Single_family,264200,Ontario
56,Oct 2005,One_storey,221700,Ontario
57,Oct 2005,Two_storey,288100,Ontario
58,Oct 2005,Townhouse,183000,Ontario
59,Oct 2005,Apartment,183300,Ontario
60,Nov 2005,Composite,253300,Ontario
61,Nov 2005,Single_family,268200,Ontario
62,Nov 2005,One_storey,225000,Ontario
63,Nov 2005,Two_storey,292000,Ontario
64,Nov 2005,Townhouse,184900,Ontario
65,Nov 2005,Apartment,186400,Ontario
66,Dec 2005,Composite,256300,Ontario
67,Dec 2005,Single_family,271700,Ontario
68,Dec 2005,One_storey,227100,Ontario
69,Dec 2005,Two_storey,296200,Ontario
70,Dec 2005,Townhouse,186300,Ontario
71,Dec 2005,Apartment,187900,Ontario
72,Jan 2006,Composite,259200,Ontario
