Date,,0,Region
Jan 2005,Composite,182000,Quebec
Jan 2005,Single_family,189900,Quebec
Jan 2005,One_storey,153900,Quebec
Jan 2005,Two_storey,233700,Quebec
Jan 2005,Townhouse,182900,Quebec
Jan 2005,Apartment,157600,Quebec
Feb 2005,Composite,182700,Quebec
Feb 2005,Single_family,190200,Quebec
Feb 2005,One_storey,154400,Quebec
Feb 2005,Two_storey,233900,Quebec
Feb 2005,Townhouse,183900,Quebec
Feb 2005,Apartment,159800,Quebec
Mar 2005,Composite,183200,Quebec
Mar 2005,Single_family,191600,Quebec
Mar 2005,One_storey,155700,Quebec
Mar 2005,Two_storey,235600,Quebec
Mar 2005,Townhouse,184700,Quebec
Mar 2005,Apartment,157300,Quebec
Apr 2005,Composite,184700,Quebec
Apr 2005,Single_family,192800,Quebec
Apr 2005,One_storey,156600,Quebec
Apr 2005,Two_storey,237000,Quebec
Apr 2005,Townhouse,186400,Quebec
Apr 2005,Apartment,158700,Quebec
May 2005,Composite,183300,Quebec
May 2005,Single_family,191700,Quebec
May 2005,One_storey,157100,Quebec
May 2005,Two_storey,233400,Quebec
May 2005,Townhouse,186400,Quebec
May 2005,Apartment,157300,Quebec
Jun 2005,Composite,184300,Quebec
Jun 2005,Single_family,192500,Quebec
Jun 2005,One_storey,156600,Quebec
Jun 2005,Two_storey,236800,Quebec
Jun 2005,Townhouse,187900,Quebec
Jun 2005,Apartment,158400,Quebec
Jul 2005,Composite,185300,Quebec
Jul 2005,Single_family,193500,Quebec
Jul 2005,One_storey,157700,Quebec
Jul 2005,Two_storey,237300,Quebec
Jul 2005,Townhouse,191100,Quebec
Jul 2005,Apartment,159200,Quebec
Aug 2005,Composite,185400,Quebec
Aug 2005,Single_family,194100,Quebec
Aug 2005,One_storey,158600,Quebec
Aug 2005,Two_storey,237600,Quebec
Aug 2005,Townhouse,188700,Quebec
Aug 2005,Apartment,157500,Quebec
Sep 2005,Composite,186000,Quebec
Sep 2005,Single_family,195100,Quebec
Sep 2005,One_storey,160400,Quebec
Sep 2005,Two_storey,237500,Quebec
Sep 2005,Townhouse,187700,Quebec
Sep 2005,Apartment,157300,Quebec
Oct 2005,Composite,187500,Quebec
Oct 2005,Single_family,196600,Quebec
Oct 2005,One_storey,161100,Quebec
Oct 2005,Two_storey,240000,Quebec
