Date,,0,Region
Jan 2005,Composite,114400,Saskatchewan
Jan 2005,Single_family,115900,Saskatchewan
Jan 2005,One_storey,106000,Saskatchewan
Jan 2005,Two_storey,142700,Saskatchewan
Jan 2005,Townhouse,118100,Saskatchewan
Jan 2005,Apartment,88300,Saskatchewan
Feb 2005,Composite,114200,Saskatchewan
Feb 2005,Single_family,115600,Saskatchewan
Feb 2005,One_storey,105800,Saskatchewan
Feb 2005,Two_storey,141800,Saskatchewan
Feb 2005,Townhouse,118500,Saskatchewan
Feb 2005,Apartment,87200,Saskatchewan
Mar 2005,Composite,113500,Saskatchewan
Mar 2005,Single_family,115200,Saskatchewan
Mar 2005,One_storey,105400,Saskatchewan
Mar 2005,Two_storey,140600,Saskatchewan
Mar 2005,Townhouse,117700,Saskatchewan
Mar 2005,Apartment,87500,Saskatchewan
Apr 2005,Composite,112600,Saskatchewan
Apr 2005,Single_family,114500,Saskatchewan
Apr 2005,One_storey,105000,Saskatchewan
Apr 2005,Two_storey,139700,Saskatchewan
Apr 2005,Townhouse,118400,Saskatchewan
Apr 2005,Apartment,87700,Saskatchewan
May 2005,Composite,112300,Saskatchewan
May 2005,Single_family,114300,Saskatchewan
May 2005,One_storey,105000,Saskatchewan
May 2005,Two_storey,139600,Saskatchewan
May 2005,Townhouse,118800,Saskatchewan
May 2005,Apartment,87100,Saskatchewan
Jun 2005,Composite,112800,Saskatchewan
Jun 2005,Single_family,114800,Saskatchewan
Jun 2005,One_storey,105500,Saskatchewan
Jun 2005,Two_storey,141300,Saskatchewan
Jun 2005,Townhouse,120300,Saskatchewan
Jun 2005,Apartment,87600,Saskatchewan
Jul 2005,Composite,113500,Saskatchewan
Jul 2005,Single_family,115400,Saskatchewan
Jul 2005,One_storey,105900,Saskatchewan
Jul 2005,Two_storey,143300,Saskatchewan
Jul 2005,Townhouse,120900,Saskatchewan
Jul 2005,Apartment,88200,Saskatchewan
Aug 2005,Composite,114800,Saskatchewan
Aug 2005,Single_family,116800,Saskatchewan
Aug 2005,One_storey,107000,Saskatchewan
Aug 2005,Two_storey,145800,Saskatchewan
Aug 2005,Townhouse,122100,Saskatchewan
Aug 2005,Apartment,88100,Saskatchewan
Sep 2005,Composite,116400,Saskatchewan
Sep 2005,Single_family,118200,Saskatchewan
Sep 2005,One_storey,108300,Saskatchewan
Sep 2005,Two_storey,148400,Saskatchewan
Sep 2005,Townhouse,123400,Saskatchewan
Sep 2005,Apartment,89300,Saskatchewan
Oct 2005,Composite,118000,Saskatchewan
Oct 2005,Single_family,119900,Saskatchewan
Oct 2005,One_storey,109800,Saskatchewan
Oct 2005,Two_storey,150200,Saskatchewan
Oct 2005,Townhouse,125300,Saskatchewan
Oct 2005,Apartment,88500,Saskatchewan
Nov 2005,Composite,119800,Saskatchewan
Nov 2005,Single_family,121400,Saskatchewan
Nov 2005,One_storey,111000,Saskatchewan
Nov 2005,Two_storey,152100,Saskatchewan
Nov 2005,Townhouse,127200,Saskatchewan
Nov 2005,Apartment,91100,Saskatchewan
Dec 2005,Composite,121200,Saskatchewan
Dec 2005,Single_family,122800,Saskatchewan
Dec 2005,One_storey,112400,Saskatchewan
