Date,,0,Region
Jan 2005,Composite,122700.0,Maritime_Regions
Jan 2005,Single_family,123000.0,Maritime_Regions
Jan 2005,One_storey,118800.0,Maritime_Regions
Jan 2005,Two_storey,128800.0,Maritime_Regions
Jan 2005,Townhouse,83700.0,Maritime_Regions
Jan 2005,Apartment,119900.0,Maritime_Regions
Feb 2005,Composite,123200.0,Maritime_Regions
Feb 2005,Single_family,123600.0,Maritime_Regions
Feb 2005,One_storey,119700.0,Maritime_Regions
Feb 2005,Two_storey,129200.0,Maritime_Regions
Feb 2005,Townhouse,83800.0,Maritime_Regions
Feb 2005,Apartment,120200.0,Maritime_Regions
Mar 2005,Composite,124100.0,Maritime_Regions
Mar 2005,Single_family,124500.0,Maritime_Regions
Mar 2005,One_storey,120700.0,Maritime_Regions
Mar 2005,Two_storey,130200.0,Maritime_Regions
Mar 2005,Townhouse,83900.0,Maritime_Regions
Mar 2005,Apartment,120500.0,Maritime_Regions
Apr 2005,Composite,124200.0,Maritime_Regions
Apr 2005,Single_family,124500.0,Maritime_Regions
Apr 2005,One_storey,120700.0,Maritime_Regions
Apr 2005,Two_storey,130200.0,Maritime_Regions
Apr 2005,Townhouse,84000.0,Maritime_Regions
Apr 2005,Apartment,120700.0,Maritime_Regions
May 2005,Composite,124500.0,Maritime_Regions
May 2005,Single_family,124800.0,Maritime_Regions
May 2005,One_storey,121000.0,Maritime_Regions
May 2005,Two_storey,130400.0,Maritime_Regions
May 2005,Townhouse,84100.0,Maritime_Regions
May 2005,Apartment,121000.0,Maritime_Regions
Jun 2005,Composite,125000.0,Maritime_Regions
Jun 2005,Single_family,125300.0,Maritime_Regions
Jun 2005,One_storey,121100.0,Maritime_Regions
Jun 2005,Two_storey,131000.0,Maritime_Regions
Jun 2005,Townhouse,84200.0,Maritime_Regions
Jun 2005,Apartment,121300.0,Maritime_Regions
Jul 2005,Composite,125100.0,Maritime_Regions
Jul 2005,Single_family,125400.0,Maritime_Regions
Jul 2005,One_storey,121200.0,Maritime_Regions
Jul 2005,Two_storey,131000.0,Maritime_Regions
Jul 2005,Townhouse,84300.0,Maritime_Regions
Jul 2005,Apartment,121600.0,Maritime_Regions
Aug 2005,Composite,125500.0,Maritime_Regions
Aug 2005,Single_family,125800.0,Maritime_Regions
Aug 2005,One_storey,121200.0,Maritime_Regions
Aug 2005,Two_storey,131300.0,Maritime_Regions
Aug 2005,Townhouse,84400.0,Maritime_Regions
Aug 2005,Apartment,121900.0,Maritime_Regions
Sep 2005,Composite,125900.0,Maritime_Regions
Sep 2005,Single_family,126200.0,Maritime_Regions
Sep 2005,One_storey,121300.0,Maritime_Regions
Sep 2005,Two_storey,130800.0,Maritime_Regions
Sep 2005,Townhouse,84600.0,Maritime_Regions
Sep 2005,Apartment,122200.0,Maritime_Regions
Oct 2005,Composite,126300.0,Maritime_Regions
Oct 2005,Single_family,126700.0,Maritime_Regions
Oct 2005,One_storey,122200.0,Maritime_Regions
Oct 2005,Two_storey,131700.0,Maritime_Regions
Oct 2005,Townhouse,84700.0,Maritime_Regions
Oct 2005,Apartment,122500.0,Maritime_Regions
Nov 2005,Composite,126800.0,Maritime_Regions
Nov 2005,Single_family,127100.0,Maritime_Regions
Nov 2005,One_storey,123100.0,Maritime_Regions
Nov 2005,Two_storey,131800.0,Maritime_Regions
Nov 2005,Townhouse,84800.0,Maritime_Regions
Nov 2005,Apartment,122800.0,Maritime_Regions
Dec 2005,Composite,127200.0,Maritime_Regions
Dec 2005,Single_family,127500.0,Maritime_Regions
Dec 2005,One_storey,124300.0,Maritime_Regions
Dec 2005,Two_storey,132200.0,Maritime_Regions
Dec 2005,Townhouse,84900.0,Maritime_Regions
Dec 2005,Apartment,123100.0,Maritime_Regions
Jan 2006,Composite,127200.0,Maritime_Regions
Jan 2006,Single_family,127500.0,Maritime_Regions
Jan 2006,One_storey,124200.0,Maritime_Regions
Jan 2006,Two_storey,132500.0,Maritime_Regions
Jan 2006,Townhouse,85000.0,Maritime_Regions
Jan 2006,Apartment,124000.0,Maritime_Regions
Feb 2006,Composite,127100.0,Maritime_Regions
Feb 2006,Single_family,127400.0,Maritime_Regions
Feb 2006,One_storey,123800.0,Maritime_Regions
Feb 2006,Two_storey,132700.0,Maritime_Regions
Feb 2006,Townhouse,85200.0,Maritime_Regions
Feb 2006,Apartment,124900.0,Maritime_Regions
Mar 2006,Composite,127300.0,Maritime_Regions
Mar 2006,Single_family,127600.0,Maritime_Regions
Mar 2006,One_storey,123700.0,Maritime_Regions
Mar 2006,Two_storey,133300.0,Maritime_Regions
Mar 2006,Townhouse,85300.0,Maritime_Regions
Mar 2006,Apartment,125800.0,Maritime_Regions
Apr 2006,Composite,128300.0,Maritime_Regions
Apr 2006,Single_family,128600.0,Maritime_Regions
Apr 2006,One_storey,124700.0,Maritime_Regions
Apr 2006,Two_storey,134300.0,Maritime_Regions
Apr 2006,Townhouse,85500.0,Maritime_Regions
