Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,Region
Jan 2005,100,100,100,100,100,100,122700,123000,118800,128800,83700,119900,NEW_BRUNSWICK
Feb 2005,100.4,100.5,100.8,100.3,100.1,100.3,123200,123600,119700,129200,83800,120200,NEW_BRUNSWICK
Mar 2005,101.1,101.2,101.6,101.1,100.2,100.5,124100,124500,120700,130200,83900,120500,NEW_BRUNSWICK
Apr 2005,101.2,101.2,101.6,101.1,100.4,100.7,124200,124500,120700,130200,84000,120700,NEW_BRUNSWICK
May 2005,101.5,101.5,101.9,101.2,100.5,100.9,124500,124800,121000,130400,84100,121000,NEW_BRUNSWICK
Jun 2005,101.9,101.9,101.9,101.7,100.6,101.2,125000,125300,121100,131000,84200,121300,NEW_BRUNSWICK
Jul 2005,102,102,102,101.7,100.7,101.4,125100,125400,121200,131000,84300,121600,NEW_BRUNSWICK
Aug 2005,102.3,102.3,102,101.9,100.8,101.7,125500,125800,121200,131300,84400,121900,NEW_BRUNSWICK
Sep 2005,102.6,102.6,102.1,101.6,101.1,101.9,125900,126200,121300,130800,84600,122200,NEW_BRUNSWICK
Oct 2005,102.9,103,102.9,102.3,101.2,102.2,126300,126700,122200,131700,84700,122500,NEW_BRUNSWICK
Nov 2005,103.3,103.3,103.6,102.3,101.3,102.4,126800,127100,123100,131800,84800,122800,NEW_BRUNSWICK
Dec 2005,103.7,103.7,104.6,102.6,101.4,102.7,127200,127500,124300,132200,84900,123100,NEW_BRUNSWICK
Jan 2006,103.7,103.7,104.5,102.9,101.6,103.4,127200,127500,124200,132500,85000,124000,NEW_BRUNSWICK
Feb 2006,103.6,103.6,104.2,103,101.8,104.2,127100,127400,123800,132700,85200,124900,NEW_BRUNSWICK
Mar 2006,103.7,103.7,104.1,103.5,101.9,104.9,127300,127600,123700,133300,85300,125800,NEW_BRUNSWICK
Apr 2006,104.6,104.6,105,104.3,102.2,105.7,128300,128600,124700,134300,85500,126700,NEW_BRUNSWICK
May 2006,105.5,105.6,106.1,105.1,102.3,106.5,129500,129900,126000,135400,85600,127700,NEW_BRUNSWICK
Jun 2006,106.8,106.8,107.1,106.2,102.4,107.3,131100,131400,127200,136800,85700,128600,NEW_BRUNSWICK
Jul 2006,106.4,106.5,106.9,105.6,102.2,107.8,130600,131000,127000,136000,85500,129300,NEW_BRUNSWICK
Aug 2006,106.4,106.4,106.7,105.3,101.8,108.4,130500,130900,126800,135600,85200,130000,NEW_BRUNSWICK
Sep 2006,106.3,106.3,106.6,104.3,101.6,109,130400,130700,126600,134300,85000,130700,NEW_BRUNSWICK
Oct 2006,106.8,106.8,107.2,105.6,101.2,109.6,131100,131400,127300,136000,84700,131400,NEW_BRUNSWICK
Nov 2006,107.3,107.3,107.8,106.2,101,110.3,131700,132000,128100,136800,84500,132200,NEW_BRUNSWICK
Dec 2006,107.8,107.8,108.5,107.1,100.7,110.8,132300,132600,128900,137900,84300,132900,NEW_BRUNSWICK
Jan 2007,109.1,109.1,110.1,108.2,101.3,111.1,133900,134200,130800,139400,84800,133200,NEW_BRUNSWICK
Feb 2007,110.4,110.4,111.4,109.6,102,111.3,135500,135800,132400,141200,85400,133500,NEW_BRUNSWICK
Mar 2007,112.1,112.1,113,111.3,102.6,111.6,137500,137900,134200,143300,85900,133800,NEW_BRUNSWICK
Apr 2007,111.7,111.7,112.4,110.9,103.3,111.8,137000,137400,133500,142900,86500,134000,NEW_BRUNSWICK
May 2007,111.4,111.5,112,110.7,104.1,112,136700,137100,133100,142600,87100,134300,NEW_BRUNSWICK
Jun 2007,111.5,111.5,111.4,110.8,104.7,112.3,136800,137200,132400,142700,87600,134600,NEW_BRUNSWICK
Jul 2007,111.7,111.7,112.4,110.3,104.4,112.3,137000,137400,133500,142100,87400,134700,NEW_BRUNSWICK
Aug 2007,112.1,112.1,113.2,110.2,104.1,112.4,137500,137900,134500,141900,87100,134800,NEW_BRUNSWICK
Sep 2007,112.6,112.6,114.1,109.5,103.8,112.4,138100,138500,135600,141000,86900,134800,NEW_BRUNSWICK
Oct 2007,113.4,113.5,114.9,111.4,103.5,112.5,139200,139600,136500,143500,86600,134900,NEW_BRUNSWICK
Nov 2007,114.4,114.5,115.7,112.7,103.2,112.6,140400,140800,137400,145200,86400,135000,NEW_BRUNSWICK
Dec 2007,115.3,115.4,116.6,114.4,102.9,112.8,141500,142000,138500,147300,86100,135200,NEW_BRUNSWICK
Jan 2008,116.1,116.2,117.9,114.3,103.8,113.9,142400,142900,140100,147200,86900,136600,NEW_BRUNSWICK
Feb 2008,116.8,116.9,119.1,114.5,104.7,115.1,143300,143800,141500,147500,87600,138000,NEW_BRUNSWICK
Mar 2008,117.8,117.9,120.4,114.8,105.4,116.7,144500,145000,143000,147900,88200,139900,NEW_BRUNSWICK
Apr 2008,118.3,118.3,120.6,115.2,106.2,118.3,145100,145500,143300,148400,88900,141900,NEW_BRUNSWICK
May 2008,118.8,118.9,121,115.8,107.4,119.9,145800,146300,143700,149200,89900,143800,NEW_BRUNSWICK
Jun 2008,119.6,119.7,121.4,116.7,108.4,121.9,146800,147200,144200,150300,90700,146100,NEW_BRUNSWICK
Jul 2008,120.5,120.5,122.5,117.5,107.6,121.5,147800,148200,145500,151400,90100,145700,NEW_BRUNSWICK
Aug 2008,121.4,121.5,123.6,118.6,108.2,121.1,148900,149500,146800,152700,90600,145200,NEW_BRUNSWICK
Sep 2008,122.5,122.6,124.8,119,107.6,120.9,150300,150800,148300,153300,90100,145000,NEW_BRUNSWICK
Oct 2008,122.1,122.4,125,118.9,109.6,120.2,149800,150500,148500,153100,91700,144100,NEW_BRUNSWICK
Nov 2008,121.9,122.1,125.3,118.2,112.8,120.1,149600,150200,148800,152300,94400,144000,NEW_BRUNSWICK
Dec 2008,121.9,122,125.8,117.7,113.3,120.1,149600,150100,149500,151600,94800,144000,NEW_BRUNSWICK
Jan 2009,121.8,121.9,125.3,117.9,114,121.8,149400,149900,148800,151800,95400,146000,NEW_BRUNSWICK
Feb 2009,121.4,121.5,124.6,117.9,115.5,123.9,149000,149400,148000,151800,96700,148500,NEW_BRUNSWICK
Mar 2009,121.5,121.4,124,117.9,117.8,127.2,149100,149300,147300,151800,98600,152500,NEW_BRUNSWICK
Apr 2009,121.8,121.8,124.7,117.6,117.4,130.5,149500,149800,148100,151500,98300,156500,NEW_BRUNSWICK
May 2009,122.5,122.4,125.5,117.9,119.7,133.1,150300,150600,149100,151900,100200,159600,NEW_BRUNSWICK
Jun 2009,123.1,123,126.2,118.3,121.9,136.9,151100,151300,149900,152400,102000,164200,NEW_BRUNSWICK
Jul 2009,123.6,123.5,126.8,118.9,123.2,135.1,151700,151900,150600,153200,103100,162000,NEW_BRUNSWICK
Aug 2009,124.1,124,127.3,119.6,127.5,133.9,152300,152500,151200,154100,106700,160600,NEW_BRUNSWICK
Sep 2009,125.1,125,128.3,120.7,131.7,132.2,153500,153800,152400,155500,110200,158500,NEW_BRUNSWICK
Oct 2009,125.8,125.7,128.7,121.9,133,130.5,154300,154600,152900,157000,111300,156500,NEW_BRUNSWICK
Nov 2009,126.2,126.1,128.6,123.1,133.9,129,154800,155100,152800,158600,112100,154700,NEW_BRUNSWICK
Dec 2009,126.8,126.8,129.3,123.9,135.6,127.4,155600,156000,153600,159600,113500,152700,NEW_BRUNSWICK
Jan 2010,125.2,125.1,128.1,121.4,143.2,128.4,153600,153900,152200,156300,119900,154000,NEW_BRUNSWICK
Feb 2010,127.8,127.8,128.6,126.6,142.7,123,156800,157200,152800,163000,119400,147500,NEW_BRUNSWICK
Mar 2010,128,128.1,128.8,126.4,140,117.2,157100,157600,153000,162800,117200,140500,NEW_BRUNSWICK
Apr 2010,127.6,127.7,129.5,124.9,139.4,121.8,156600,157100,153800,160900,116700,146000,NEW_BRUNSWICK
May 2010,128,128,130.1,125,141.1,122.7,157100,157500,154500,161000,118100,147100,NEW_BRUNSWICK
Jun 2010,127.9,128,130.5,124.2,143.4,120.4,156900,157400,155000,160000,120000,144400,NEW_BRUNSWICK
Jul 2010,128.4,128.5,130.2,126.1,149.7,119.3,157600,158000,154700,162400,125300,143000,NEW_BRUNSWICK
Aug 2010,128.4,128.3,129.6,126.5,152.8,127.6,157500,157800,154000,162900,127900,153000,NEW_BRUNSWICK
Sep 2010,127.9,127.7,128.2,126.7,160.9,128.4,156900,157100,152300,163200,134700,154000,NEW_BRUNSWICK
Oct 2010,127.7,127.6,128.3,126.2,162.5,130.6,156700,156900,152400,162600,136000,156600,NEW_BRUNSWICK
Nov 2010,128.4,128.3,129.3,127.1,164.6,126.6,157600,157800,153600,163700,137800,151800,NEW_BRUNSWICK
Dec 2010,128.2,128,128.1,127.3,169.2,129.9,157300,157400,152200,164000,141600,155800,NEW_BRUNSWICK
Jan 2011,129.1,128.9,129.2,128.6,175.4,129.9,158400,158600,153500,165600,146800,155800,NEW_BRUNSWICK
Feb 2011,128.7,128.5,129.7,126.9,170.1,130.5,157900,158000,154100,163500,142400,156500,NEW_BRUNSWICK
Mar 2011,130.2,130.2,131,128,169.2,123.4,159800,160200,155600,164900,141600,148000,NEW_BRUNSWICK
Apr 2011,130.7,130.6,131.8,129,166.5,128.2,160400,160600,156600,166100,139400,153700,NEW_BRUNSWICK
May 2011,130.2,130.1,131.2,128.3,177.1,123.1,159700,160000,155900,165300,148200,147600,NEW_BRUNSWICK
Jun 2011,131,131,130.9,130.6,178.4,121.3,160700,161100,155500,168200,149300,145400,NEW_BRUNSWICK
Jul 2011,129.6,129.5,130.6,127.6,172.8,124.3,159000,159300,155100,164400,144600,149000,NEW_BRUNSWICK
Aug 2011,129.7,129.5,130.5,128.2,174.1,126.6,159100,159300,155000,165100,145700,151800,NEW_BRUNSWICK
Sep 2011,130.2,130,131.5,128.2,173.8,125.4,159700,159900,156200,165100,145500,150400,NEW_BRUNSWICK
