Date,Mortgage Rate,Interest Rate
1951-01,5.0,0.0
1951-02,5.0,0.0
1951-03,5.0,0.0
1951-04,5.25,0.0
1951-05,5.5,0.0
1951-06,5.5,0.0
1951-07,5.62,0.0
1951-08,5.62,0.0
1951-09,5.75,0.0
1951-10,5.75,0.0
1951-11,5.75,0.0
1951-12,5.75,0.0
1952-01,5.7,0.0
1952-02,5.7,0.0
1952-03,5.7,0.0
1952-04,5.7,0.0
1952-05,5.8,0.0
1952-06,5.8,0.0
1952-07,5.85,0.0
1952-08,5.85,0.0
1952-09,5.75,0.0
1952-10,5.8,0.0
1952-11,5.8,0.0
1952-12,5.8,0.0
1953-01,5.9,0.0
1953-02,5.9,0.0
1953-03,5.9,0.0
1953-04,5.9,0.0
1953-05,5.9,0.0
1953-06,5.95,0.0
1953-07,5.95,0.0
1953-08,5.95,0.0
1953-09,6.05,0.0
1953-10,6.05,0.0
1953-11,6.1,0.0
1953-12,6.1,0.0
1954-01,6.05,0.0
1954-02,6.05,0.0
1954-03,6.05,0.0
1954-04,6.0,0.0
1954-05,6.0,0.0
1954-06,6.0,0.0
1954-07,6.0,0.0
1954-08,6.0,0.0
1954-09,6.0,0.0
1954-10,6.0,0.0
1954-11,6.0,0.0
1954-12,6.0,0.0
1955-01,6.0,0.0
1955-02,6.0,0.0
1955-03,6.0,0.0
1955-04,6.0,0.0
1955-05,5.75,0.0
1955-06,5.75,0.0
1955-07,5.75,0.0
1955-08,5.7,0.0
1955-09,5.8,0.0
1955-10,5.9,0.0
1955-11,5.95,0.0
1955-12,5.95,0.0
1956-01,5.95,0.0
1956-02,5.95,0.0
1956-03,6.0,0.0
1956-04,6.0,0.0
1956-05,6.0,0.0
1956-06,6.05,0.0
1956-07,6.15,0.0
1956-08,6.35,0.0
1956-09,6.4,0.0
1956-10,6.55,0.0
1956-11,6.65,0.0
1956-12,6.65,0.0
1957-01,6.7,0.0
1957-02,6.75,0.0
1957-03,6.75,0.0
1957-04,6.75,0.0
1957-05,6.75,0.0
