,Date,Composite_HPI_SA,Composite_Benchmark_SA
0,2005-01,100.0,221100
1,2005-02,100.6,222500
2,2005-03,101.4,224200
3,2005-04,102.2,225900
4,2005-05,102.8,227400
5,2005-06,103.8,229600
6,2005-07,105.1,232400
7,2005-08,106.5,235400
8,2005-09,107.9,238500
9,2005-10,109.4,241900
10,2005-11,111.0,245400
11,2005-12,112.4,248500
12,2006-01,114.1,252200
13,2006-02,115.6,255600
14,2006-03,117.2,259100
15,2006-04,119.0,263000
16,2006-05,120.7,266900
17,2006-06,122.4,270700
18,2006-07,124.1,274300
19,2006-08,125.6,277800
20,2006-09,127.2,281200
21,2006-10,128.3,283700
22,2006-11,129.5,286300
23,2006-12,130.9,289400
24,2007-01,132.3,292600
25,2007-02,134.1,296500
26,2007-03,135.7,300100
27,2007-04,137.3,303500
28,2007-05,139.1,307600
29,2007-06,140.7,311100
30,2007-07,142.1,314200
31,2007-08,143.3,316800
32,2007-09,144.5,319400
33,2007-10,145.6,321900
34,2007-11,146.6,324200
35,2007-12,147.8,326800
36,2008-01,148.6,328500
37,2008-02,148.9,329200
38,2008-03,148.9,329300
39,2008-04,148.4,328200
40,2008-05,147.6,326300
41,2008-06,146.8,324500
42,2008-07,145.7,322200
43,2008-08,144.8,320200
44,2008-09,144.0,318400
45,2008-10,142.2,314400
46,2008-11,140.7,311100
47,2008-12,138.9,307200
48,2009-01,137.4,303900
49,2009-02,136.3,301300
50,2009-03,135.4,299400
51,2009-04,136.0,300700
52,2009-05,137.0,303000
53,2009-06,138.8,306800
54,2009-07,140.8,311200
55,2009-08,142.8,315700
56,2009-09,145.0,320500
57,2009-10,147.1,325200
58,2009-11,149.1,329600
59,2009-12,150.7,333300
60,2010-01,152.0,336100
61,2010-02,153.0,338300
62,2010-03,153.8,340000
63,2010-04,154.0,340500
64,2010-05,153.9,340300
65,2010-06,153.4,339100
66,2010-07,153.0,338300
67,2010-08,152.9,338000
68,2010-09,153.0,338200
69,2010-10,153.5,339300
70,2010-11,154.3,341100
71,2010-12,155.0,342800
72,2011-01,156.2,345300
73,2011-02,157.4,348100
74,2011-03,158.7,350800
75,2011-04,159.7,353100
76,2011-05,160.9,355700
77,2011-06,162.1,358400
78,2011-07,163.3,361000
79,2011-08,164.4,363400
80,2011-09,165.2,365200
81,2011-10,166.0,367000
82,2011-11,166.8,368900
83,2011-12,167.7,370700
84,2012-01,168.5,372600
85,2012-02,169.2,374000
86,2012-03,169.8,375400
87,2012-04,170.3,376600
88,2012-05,170.4,376700
89,2012-06,170.2,376400
90,2012-07,170.1,376100
91,2012-08,169.9,375600
92,2012-09,169.8,375500
93,2012-10,169.7,375300
94,2012-11,169.6,375000
95,2012-12,170.1,376100
96,2013-01,170.0,375900
97,2013-02,170.5,376900
98,2013-03,170.7,377400
99,2013-04,171.1,378300
100,2013-05,171.5,379100
101,2013-06,172.0,380400
102,2013-07,172.9,382200
103,2013-08,173.8,384200
104,2013-09,174.8,386500
105,2013-10,175.9,388900
106,2013-11,176.8,391000
107,2013-12,177.7,392900
108,2014-01,178.6,394900
109,2014-02,179.1,396100
110,2014-03,179.5,396800
111,2014-04,179.9,397800
112,2014-05,180.5,399100
113,2014-06,181.4,401000
114,2014-07,182.1,402700
115,2014-08,183.2,405000
116,2014-09,184.4,407600
117,2014-10,185.7,410600
118,2014-11,187.2,413800
119,2014-12,188.3,416300
120,2015-01,189.1,418000
121,2015-02,189.7,419400
122,2015-03,190.8,421800
123,2015-04,191.9,424400
124,2015-05,193.4,427500
125,2015-06,195.4,432000
126,2015-07,197.5,436700
127,2015-08,199.8,441800
128,2015-09,201.9,446500
129,2015-10,204.0,451100
130,2015-11,206.2,455900
131,2015-12,208.3,460500
132,2016-01,210.9,466400
133,2016-02,213.9,473000
134,2016-03,217.0,479700
135,2016-04,220.7,487900
136,2016-05,224.9,497300
137,2016-06,228.8,505900
138,2016-07,232.3,513700
139,2016-08,234.6,518800
140,2016-09,236.8,523500
141,2016-10,238.0,526300
142,2016-11,239.8,530100
143,2016-12,241.2,533300
144,2017-01,244.8,541200
145,2017-02,250.2,553300
146,2017-03,256.6,567300
147,2017-04,259.5,573700
148,2017-05,258.6,571700
149,2017-06,256.5,567200
150,2017-07,254.3,562200
151,2017-08,253.1,559700
152,2017-09,253.2,559800
153,2017-10,253.7,560900
154,2017-11,254.5,562600
155,2017-12,254.8,563400
156,2018-01,254.2,562000
157,2018-02,252.9,559100
158,2018-03,251.8,556800
159,2018-04,251.0,555000
160,2018-05,250.6,554000
161,2018-06,250.4,553700
162,2018-07,250.5,553900
163,2018-08,250.3,553500
164,2018-09,249.8,552200
165,2018-10,249.6,551800
166,2018-11,248.1,548500
167,2018-12,246.6,545200
168,2019-01,243.9,539300
169,2019-02,240.9,532600
170,2019-03,239.0,528500
171,2019-04,239.0,528500
172,2019-05,239.5,529500
173,2019-06,240.8,532300
174,2019-07,242.2,535400
175,2019-08,243.4,538200
176,2019-09,245.0,541800
177,2019-10,246.4,544900
178,2019-11,247.4,547000
179,2019-12,248.0,548400
180,2020-01,248.5,549500
181,2020-02,249.3,551200
182,2020-03,249.1,550700
183,2020-04,246.1,544200
184,2020-05,248.2,548800
185,2020-06,252.6,558400
186,2020-07,259.2,573200
187,2020-08,265.5,587000
188,2020-09,270.0,596900
189,2020-10,273.0,603600
190,2020-11,276.0,610200
191,2020-12,279.2,617300
192,2021-01,284.3,628600
193,2021-02,291.0,643500
194,2021-03,298.3,659600
195,2021-04,304.5,673300
196,2021-05,310.4,686300
197,2021-06,316.4,699600
198,2021-07,321.1,709900
