Composite_HPI_SA,Composite_Benchmark_SA,date
100,221100,2005-01
100.6,222500,2005-02
101.4,224200,2005-03
102.2,225900,2005-04
102.8,227400,2005-05
103.8,229600,2005-06
105.1,232400,2005-07
106.5,235400,2005-08
107.9,238500,2005-09
109.4,241900,2005-10
111,245400,2005-11
112.4,248500,2005-12
114.1,252200,2006-01
115.6,255600,2006-02
117.2,259100,2006-03
119,263000,2006-04
120.7,266900,2006-05
122.4,270700,2006-06
124.1,274300,2006-07
125.6,277800,2006-08
127.2,281200,2006-09
128.3,283700,2006-10
129.5,286300,2006-11
130.9,289400,2006-12
132.3,292600,2007-01
134.1,296500,2007-02
135.7,300100,2007-03
137.3,303500,2007-04
139.1,307600,2007-05
140.7,311100,2007-06
142.1,314200,2007-07
143.3,316800,2007-08
144.5,319400,2007-09
145.6,321900,2007-10
146.6,324200,2007-11
147.8,326800,2007-12
148.6,328500,2008-01
148.9,329200,2008-02
148.9,329300,2008-03
148.4,328200,2008-04
147.6,326300,2008-05
146.8,324500,2008-06
145.7,322200,2008-07
144.8,320200,2008-08
144,318400,2008-09
142.2,314400,2008-10
140.7,311100,2008-11
138.9,307200,2008-12
137.4,303900,2009-01
136.3,301300,2009-02
135.4,299400,2009-03
136,300700,2009-04
137,303000,2009-05
138.8,306800,2009-06
140.8,311200,2009-07
142.8,315700,2009-08
145,320500,2009-09
147.1,325200,2009-10
149.1,329600,2009-11
150.7,333300,2009-12
152,336100,2010-01
153,338300,2010-02
153.8,340000,2010-03
154,340500,2010-04
153.9,340300,2010-05
153.4,339100,2010-06
153,338300,2010-07
152.9,338000,2010-08
153,338200,2010-09
153.5,339300,2010-10
154.3,341100,2010-11
155,342800,2010-12
156.2,345300,2011-01
157.4,348100,2011-02
158.7,350800,2011-03
159.7,353100,2011-04
160.9,355700,2011-05
162.1,358400,2011-06
163.3,361000,2011-07
164.4,363400,2011-08
165.2,365200,2011-09
166,367000,2011-10
166.8,368900,2011-11
167.7,370700,2011-12
168.5,372600,2012-01
169.2,374000,2012-02
169.8,375400,2012-03
170.3,376600,2012-04
170.4,376700,2012-05
170.2,376400,2012-06
170.1,376100,2012-07
169.9,375600,2012-08
169.8,375500,2012-09
169.7,375300,2012-10
169.6,375000,2012-11
170.1,376100,2012-12
170,375900,2013-01
170.5,376900,2013-02
170.7,377400,2013-03
171.1,378300,2013-04
171.5,379100,2013-05
172,380400,2013-06
172.9,382200,2013-07
173.8,384200,2013-08
174.8,386500,2013-09
175.9,388900,2013-10
176.8,391000,2013-11
177.7,392900,2013-12
178.6,394900,2014-01
179.1,396100,2014-02
179.5,396800,2014-03
179.9,397800,2014-04
180.5,399100,2014-05
181.4,401000,2014-06
182.1,402700,2014-07
183.2,405000,2014-08
184.4,407600,2014-09
185.7,410600,2014-10
187.2,413800,2014-11
188.3,416300,2014-12
189.1,418000,2015-01
189.7,419400,2015-02
190.8,421800,2015-03
191.9,424400,2015-04
193.4,427500,2015-05
195.4,432000,2015-06
197.5,436700,2015-07
199.8,441800,2015-08
201.9,446500,2015-09
204,451100,2015-10
206.2,455900,2015-11
208.3,460500,2015-12
210.9,466400,2016-01
213.9,473000,2016-02
217,479700,2016-03
220.7,487900,2016-04
224.9,497300,2016-05
228.8,505900,2016-06
232.3,513700,2016-07
234.6,518800,2016-08
236.8,523500,2016-09
238,526300,2016-10
239.8,530100,2016-11
241.2,533300,2016-12
244.8,541200,2017-01
250.2,553300,2017-02
256.6,567300,2017-03
259.5,573700,2017-04
258.6,571700,2017-05
256.5,567200,2017-06
254.3,562200,2017-07
253.1,559700,2017-08
253.2,559800,2017-09
253.7,560900,2017-10
254.5,562600,2017-11
254.8,563400,2017-12
254.2,562000,2018-01
252.9,559100,2018-02
251.8,556800,2018-03
251,555000,2018-04
250.6,554000,2018-05
250.4,553700,2018-06
250.5,553900,2018-07
250.3,553500,2018-08
249.8,552200,2018-09
249.6,551800,2018-10
248.1,548500,2018-11
246.6,545200,2018-12
243.9,539300,2019-01
240.9,532600,2019-02
239,528500,2019-03
239,528500,2019-04
239.5,529500,2019-05
240.8,532300,2019-06
242.2,535400,2019-07
243.4,538200,2019-08
245,541800,2019-09
246.4,544900,2019-10
247.4,547000,2019-11
248,548400,2019-12
248.5,549500,2020-01
249.3,551200,2020-02
249.1,550700,2020-03
246.1,544200,2020-04
248.2,548800,2020-05
252.6,558400,2020-06
259.2,573200,2020-07
265.5,587000,2020-08
270,596900,2020-09
273,603600,2020-10
276,610200,2020-11
279.2,617300,2020-12
284.3,628600,2021-01
291,643500,2021-02
298.3,659600,2021-03
304.5,673300,2021-04
310.4,686300,2021-05
316.4,699600,2021-06
321.1,709900,2021-07
326.5,721900,2021-08
333.9,738200,2021-09
343.5,759500,2021-10
351.4,777000,2021-11
357.5,790400,2021-12
370.6,819400,2022-01
379.9,840000,2022-02
379.4,838800,2022-03
374.1,827200,2022-04
370.1,818300,2022-05
363.5,803600,2022-06
357.1,789500,2022-07
351.2,776500,2022-08
346.4,766000,2022-09
